stationid,latitude,longitude,country,min_year,max_year
"16253099999,41.060833000000002,14.081944000000000,ITALY,""1982"",""2021"""
"06235099999,52.923352999999999,4.780625000000000,NETHERLANDS,""1981"",""2021"""
"26554099999,55.816666599999998,27.949999999999999,BELARUS,""1981"",""2021"""
"11358099999,47.549999999999997,13.933333299999999,AUSTRIA,""1995"",""2021"""
"06104099999,55.740321999999999,9.151778000000000,DENMARK,""1981"",""2021"""
"11240099999,46.991067000000001,15.439628000000001,AUSTRIA,""1981"",""2021"""
"06119099999,54.850000000000001,9.983333300000000,DENMARK,""1981"",""2021"""
"12530099999,50.616666600000002,17.966666600000000,POLAND,""1984"",""2021"""
"07690099999,43.658411000000001,7.215872000000000,FRANCE,""1981"",""2021"""
"16181099999,43.095905999999999,12.513222000000001,ITALY,""1981"",""2021"""
"11150099999,47.793303999999999,13.004333000000001,AUSTRIA,""1981"",""2021"""
"11698099999,48.883333299999997,16.083333300000000,CZECH REPUBLIC,""1989"",""2021"""
"16252099999,41.566666699999999,14.650000000000000,ITALY,""1981"",""2021"""
"03743099999,51.200000000000003,-1.800000000000000,UNITED KINGDOM,""1995"",""2021"""
"11351099999,47.433333300000001,13.633333300000000,AUSTRIA,""1993"",""2021"""
"06330099999,51.983333299999998,4.100000000000000,NETHERLANDS,""1995"",""2021"""
"11302099999,47.433333300000001,9.733333300000000,AUSTRIA,""1996"",""2021"""
"08545099999,41.248055000000001,-8.681388999999999,PORTUGAL,""1981"",""2021"""
"11010099999,48.233218999999998,14.187511000000001,AUSTRIA,""1981"",""2021"""
"11464099999,50.549999999999997,13.933333299999999,CZECH REPUBLIC,""1981"",""2021"""
"07482099999,45.987335000000002,5.328445000000000,FRANCE,""1984"",""2021"""
"16460099999,37.466780999999997,15.066400000000000,ITALY,""1981"",""2021"""
"08171099999,41.633333299999997,0.600000000000000,SPAIN,""1981"",""2021"""
"33317099999,50.166666599999999,27.033333299999999,UKRAINE,""1981"",""2021"""
"06344099999,51.956944000000000,4.437222000000000,NETHERLANDS,""1981"",""2021"""
"06490099999,50.483333299999998,5.916666700000000,BELGIUM,""1981"",""2020"""
"16420099999,38.200000000000003,15.550000000000001,ITALY,""1981"",""2021"""
"22217099999,67.150000000000006,32.350000000000001,RUSSIA,""1981"",""2021"""
"02942099999,61.833333300000000,22.466666600000000,FINLAND,""1981"",""2021"""
"03857099999,50.516666600000001,-2.450000000000000,UNITED KINGDOM,""1995"",""2021"""
"16270099999,41.133333299999997,16.766666600000001,ITALY,""1981"",""2021"""
"34415099999,49.183333300000001,37.299999999999997,UKRAINE,""1981"",""2021"""
"12270099999,53.100000000000001,20.350000000000001,POLAND,""1981"",""2020"""
"16076099999,45.673889000000003,9.704166000000001,ITALY,""1981"",""2021"""
"03707099999,51.087167000000001,-4.150339000000000,UNITED KINGDOM,""1983"",""2021"""
"08224099999,40.294139000000001,-3.723833000000000,SPAIN,""1981"",""2021"""
"02453099999,60.716666600000003,17.166666599999999,SWEDEN,""1997"",""2021"""
"03882099999,50.899999999999999,0.316666600000000,UNITED KINGDOM,""1993"",""2021"""
"07055099999,49.454444000000002,2.112778000000000,FRANCE,""1981"",""2021"""
"03002099999,60.750000000000000,-0.850000000000000,UNITED KINGDOM,""1989"",""2021"""
