stationid,latitude,longitude,country,min_year,max_year
"76848599999",15.775316999999999,-96.262572000000006,MEXICO,"1989","2021"
"76743399999",17.983333300000002,-92.816666600000005,MEXICO,"1991","2021"
"78724099999",13.300000000000001,-87.183333300000001,HONDURAS,"1981","2021"
"78224099999",22.989153000000002,-82.409086000000002,CUBA,"1981","2021"
"76571099999",21.705461000000000,-102.317869000000002,MEXICO,"1983","2021"
"76405099999",24.166666599999999,-110.299999999999997,MEXICO,"1991","2021"
"78485099999",18.429663999999999,-69.668925000000002,DOMINICAN REPUBLIC,"1981","2021"
"76525599999",22.897112000000000,-102.686890000000005,MEXICO,"1985","2021"
"78255099999",21.420278000000000,-77.847499999999997,CUBA,"1981","2021"
"99422099999",27.070000000000000,-82.450000000000003,UNITED STATES,"1987","2021"
"72204012838",28.101099999999999,-80.643900000000002,UNITED STATES,"1981","2021"
"76471099999",23.633333300000000,-103.650000000000006,MEXICO,"1983","2021"
"76459399999",23.161356000000001,-106.266071999999994,MEXICO,"1991","2021"
"72202012839",25.788100000000000,-80.316900000000004,UNITED STATES,"1981","2021"
"76687099999",19.550000000000001,-96.916666599999999,MEXICO,"1993","2021"
"76654699999",19.396692000000002,-102.039056000000002,MEXICO,"1984","2021"
"99443099999",25.010000000000002,-80.379999999999995,UNITED STATES,"1989","2018"
"78795099999",8.085597000000000,-80.945252999999994,PANAMA,"1982","2021"
"76394399999",25.778489000000000,-100.106877999999995,MEXICO,"1991","2021"
"78460099999",19.406092000000001,-70.604688999999993,DOMINICAN REPUBLIC,"1983","2021"
"78707099999",15.166666700000000,-87.116666699999996,HONDURAS,"1991","2021"
"76613399999",20.521799999999999,-103.311166999999998,MEXICO,"1991","2021"
"78583099999",17.539144000000000,-88.308203000000006,NULL,"1981","2021"
"76423099999",24.050000000000001,-104.599999999999994,MEXICO,"1989","2021"
"76323099999",26.933333300000001,-105.666666599999999,MEXICO,"1990","2021"
"78711099999",15.260778000000000,-83.781471999999994,HONDURAS,"1985","2021"
"78384011813",19.300000000000001,-81.366669999999999,CAYMAN ISLANDS,"1989","2021"
"76805099999",16.750000000000000,-99.750000000000000,MEXICO,"1989","2021"
"76741099999",18.183333300000001,-94.500000000000000,MEXICO,"1985","2021"
"76361599999",25.685193999999999,-109.080805999999995,MEXICO,"1984","2021"
"78767099999",9.957960999999999,-83.022006000000005,COSTA RICA,"1982","2021"
"78862099999",17.136748999999998,-61.792667000000002,ANTIGUA AND BARBUDA,"1982","2021"
"78717099999",14.783333300000001,-88.783333299999995,HONDURAS,"1984","2021"
"78714099999",14.900000000000000,-85.933333300000001,HONDURAS,"1981","2021"
"76593099999",21.300000000000001,-89.650000000000006,MEXICO,"1990","2021"
"72203012844",26.684699999999999,-80.099400000000003,UNITED STATES,"1981","2021"
"76305099999",25.989194000000001,-111.348360999999997,MEXICO,"1991","2021"
"76737099999",18.850000000000001,-97.099999999999994,MEXICO,"1989","2021"
"76691399999",19.145931000000001,-96.187267000000006,MEXICO,"1991","2021"
"76665599999",19.849944000000001,-101.025499999999994,MEXICO,"1985","2021"
"78458099999",19.750000000000000,-70.549999999999997,DOMINICAN REPUBLIC,"1997","2021"
"76581099999",21.933333300000001,-99.983333299999998,MEXICO,"1989","2021"
"76855699999",15.876861000000000,-97.089117000000002,MEXICO,"1989","2021"
"72205712854",28.779720000000001,-81.243610000000004,UNITED STATES,"1981","2021"
"74795012867",28.233329999999999,-80.599999999999994,UNITED STATES,"1981","2021"
"76726099999",18.835082000000000,-99.262157999999999,MEXICO,"1990","2021"
"78705099999",15.742481000000000,-86.853036000000003,HONDURAS,"1981","2021"
"76843099999",16.750000000000000,-93.133333300000004,MEXICO,"1981","2021"
"76750099999",18.504667000000001,-88.326847000000001,MEXICO,"1981","2021"
"99439099999",26.699999999999999,-79.000000000000000,UNITED STATES,"1986","2021"
"76549399999",22.296450000000000,-97.865931000000003,MEXICO,"1991","2021"
