stationid,latitude,longitude,country,min_year,max_year
"41240099999",26.216666600000000,56.250000000000000,OMAN,"1983","2019"
"41764099999",25.383333300000000,68.416666699999993,PAKISTAN,"1990","2021"
"40405099999",26.300000000000001,43.766666600000001,SAUDI ARABIA,"1981","2021"
"40732099999",36.909908000000001,50.679589000000000,IRAN,"1991","2021"
"40811099999",31.337444000000001,48.762138000000000,IRAN,"1991","2021"
"41216099999",24.428332999999999,54.458083999999999,AE,"1983","2021"
"40066099999",34.816666599999998,36.133333299999997,SYRIA,"1981","2019"
"40818099999",31.183333300000001,52.666666700000000,IRAN,"1992","2021"
"41624099999",31.909421999999999,70.896638999999993,PAKISTAN,"1983","2021"
"41244099999",24.233333300000002,55.783333300000002,OMAN,"1983","2021"
"40757099999",35.591093999999998,53.495086000000001,IRAN,"1991","2021"
"40416099999",26.265416999999999,50.152026999999997,SAUDI ARABIA,"1981","2021"
"41030099999",21.433333300000001,39.766666600000001,SAUDI ARABIA,"1984","2017"
"40582099999",29.226566999999999,47.968927999999998,NULL,"1981","2021"
"40357099999",30.906589000000000,41.138216999999997,SAUDI ARABIA,"1981","2021"
"40710099999",37.933333300000001,47.533333300000002,IRAN,"1995","2021"
"40754099999",35.689166999999998,51.313415999999997,IRAN,"1990","2021"
"40831099999",30.371110999999999,48.228332999999999,IRAN,"1992","2021"
"40100099999",33.820931000000002,35.488388999999998,LEBANON,"1981","2021"
"41256099999",23.593278000000002,58.284444000000001,OMAN,"1983","2021"
"38915099999",37.516666600000001,66.016666599999994,TURKMENISTAN,"1981","2021"
"40400099999",26.198553000000000,36.476381000000003,SAUDI ARABIA,"1981","2021"
"41660099999",30.251369000000000,66.937764000000001,PAKISTAN,"1981","2021"
"40769099999",34.138069000000002,49.847296999999998,IRAN,"1991","2021"
"38974099999",36.533333300000002,61.216666600000003,TURKMENISTAN,"1981","2021"
"41268099999",22.533333299999999,59.483333299999998,OMAN,"1983","2021"
"40250099999",32.539217000000001,38.194986000000000,JORDAN,"1981","2017"
"41530099999",34.016666600000001,71.583333300000007,PAKISTAN,"1981","2020"
"40310099999",30.166666599999999,35.783333300000002,JORDAN,"1981","2021"
"40375099999",28.365417000000001,36.618889000000003,SAUDI ARABIA,"1981","2021"
"40155099999",32.809443999999999,35.043056000000000,ISRAEL,"1981","2021"
"40713099999",37.350000000000001,46.166666700000000,IRAN,"1995","2021"
"41061099999",20.504275000000000,45.199556000000001,SAUDI ARABIA,"1990","2021"
"40739099999",36.416666599999999,54.950000000000003,IRAN,"1991","2021"
"41749099999",26.219442000000001,68.390052999999995,PAKISTAN,"1993","2021"
"40718099999",37.466666600000003,49.466666600000003,IRAN,"1991","2021"
"40272099999",31.722556000000001,35.993214000000002,JORDAN,"1984","2021"
"38750099999",37.466666600000003,53.966666600000003,TURKMENISTAN,"1981","2021"
"40030099999",35.116666600000002,36.750000000000000,SYRIA,"1981","2021"
"40841099999",30.274443999999999,56.951110999999997,IRAN,"1991","2021"
"41641099999",31.521564000000001,74.403593999999998,PAKISTAN,"1993","2018"
"41288099999",20.675433999999999,58.890467000000001,OMAN,"1983","2018"
"41768099999",25.516666600000001,69.783333299999995,PAKISTAN,"1981","2021"
"38927099999",37.286667000000001,67.310000000000002,UZBEKISTAN,"1981","2021"
"40430099999",24.553422000000001,39.705061000000001,SAUDI ARABIA,"1981","2021"
"40762099999",35.266666600000001,59.216666600000003,IRAN,"1991","2021"
"41128099999",17.611436000000001,44.419168999999997,SAUDI ARABIA,"1983","2021"
"40438099999",24.721944000000001,46.724722000000000,SAUDI ARABIA,"1981","2020"
"41084099999",19.984349999999999,42.620880999999997,SAUDI ARABIA,"1983","2021"
"40361099999",29.785132999999998,40.100006000000000,SAUDI ARABIA,"1981","2021"
"40199099999",29.561281000000001,34.960081000000002,ISRAEL,"1981","2021"
"40809099999",32.898055999999997,59.266111000000002,IRAN,"1990","2021"
"41744099999",27.833333300000000,66.633333300000004,PAKISTAN,"1981","2021"
"41150099999",26.270834000000001,50.633609999999997,BAHRAIN,"1983","2021"
"40437099999",24.957640000000001,46.698776000000002,SAUDI ARABIA,"1984","2021"
"38987099999",35.283333300000002,62.350000000000001,TURKMENISTAN,"1981","2021"
"40851099999",29.466666600000000,55.716666600000003,IRAN,"1992","2021"
"40356099999",31.692682999999999,38.731200000000001,SAUDI ARABIA,"1981","2021"
"62337099999",31.073333000000002,33.835833000000001,EGYPT,"1986","2018"
"41756099999",25.067810999999999,61.805419000000001,PAKISTAN,"1981","2021"
"40377099999",27.900917000000000,45.528193999999999,SAUDI ARABIA,"1991","2016"
"41685099999",29.883333300000000,69.716666599999996,PAKISTAN,"1981","2021"
"41712099999",28.883333300000000,64.400000000000006,PAKISTAN,"1981","2021"
"41140099999",16.901111000000000,42.585833000000001,SAUDI ARABIA,"1983","2021"
"40007099999",36.180675000000001,37.224358000000002,SYRIA,"1981","2021"
"40080099999",33.411521999999998,36.515557999999999,SYRIA,"1981","2021"
"40704099999",38.433333300000001,47.066666599999998,IRAN,"1995","2021"
"41184099999",25.613482999999999,55.938817000000000,AE,"1983","2021"
"40260099999",32.160747000000001,37.149383000000000,JORDAN,"1981","2021"
"40025099999",35.401094000000001,35.948681000000001,SYRIA,"1997","2021"
"41246099999",24.466666600000000,56.649999999999999,OMAN,"1983","2021"
"40736099999",36.716666600000003,52.649999999999999,IRAN,"1991","2021"
"41571099999",33.616652999999999,73.099232999999998,PAKISTAN,"1981","2021"
"40022099999",35.533333300000002,35.766666600000001,SYRIA,"1981","2019"
"40738099999",36.909381000000003,54.401339000000000,IRAN,"1992","2021"
"40373099999",28.335191999999999,46.125069000000003,SAUDI ARABIA,"1981","2021"
"41620099999",31.358381000000001,69.463605999999999,PAKISTAN,"1981","2021"
"41715099999",28.284167000000000,68.449710999999994,PAKISTAN,"1981","2021"
"40362099999",29.626418999999999,43.490614000000001,SAUDI ARABIA,"1981","2021"
"41640099999",31.550000000000001,74.333333300000007,PAKISTAN,"1981","2021"
"40701099999",39.333333300000000,44.433333300000001,IRAN,"1995","2021"
"41114099999",18.297286000000000,42.803536000000001,SAUDI ARABIA,"1983","2021"
"40747099999",35.246935999999998,47.009011000000001,IRAN,"1991","2021"
"40719099999",37.325431000000002,49.605708000000000,IRAN,"1992","2021"
"40712099999",37.668166999999997,45.068666999999998,IRAN,"1991","2021"
"40856099999",29.476330999999998,60.906824999999998,IRAN,"1991","2021"
"41036099999",21.483418000000000,40.544333999999999,SAUDI ARABIA,"1983","2021"
"41055099999",20.296139000000000,41.634276999999997,SAUDI ARABIA,"1983","2021"
"40766099999",34.345852999999998,47.158124999999998,IRAN,"1990","2021"
"41254099999",23.066666699999999,57.633333299999997,OMAN,"1983","2018"
"40270099999",31.972702999999999,35.991568999999998,JORDAN,"1981","2021"
"40420099999",25.285305999999999,49.485188999999998,SAUDI ARABIA,"1983","2021"
"41112099999",18.240366999999999,42.656624999999998,SAUDI ARABIA,"1983","2021"
"41170099999",25.261125000000000,51.565055999999998,QATAR,"1983","2021"
"40854099999",29.083925000000001,58.450397000000002,IRAN,"1992","2021"
"41218099999",24.261666999999999,55.609166999999999,AE,"1994","2021"
"40879099999",27.236169000000000,60.720033000000001,IRAN,"1991","2021"
"40875099999",27.218169000000000,56.377875000000003,IRAN,"1991","2021"
"41780099999",24.906547000000000,67.160797000000002,PAKISTAN,"1981","2021"
"40800099999",32.750720999999999,51.861694000000000,IRAN,"1991","2021"
"41024099999",21.679563999999999,39.156536000000003,SAUDI ARABIA,"1983","2021"
"41217099999",24.432971999999999,54.651138000000003,AE,"1983","2021"
"40740099999",37.066666599999998,58.500000000000000,IRAN,"1992","2021"
"41194099999",25.254996999999999,55.364277999999999,AE,"1983","2021"
"38954099999",37.500000000000000,71.500000000000000,TAJIKISTAN,"1981","2021"
"40180099999",32.011389000000001,34.886667000000003,ISRAEL,"1981","2021"
"40878099999",27.333333300000000,62.333333300000000,IRAN,"1995","2021"
"41316099999",17.038719000000000,54.091296999999997,OMAN,"1981","2021"
"40703099999",38.427453000000000,44.973574999999997,IRAN,"1992","2021"
"40743099999",36.168410999999999,57.595072000000002,IRAN,"1990","2021"
"41136099999",17.466875000000002,47.121431000000001,SAUDI ARABIA,"1985","2021"
"40103099999",34.450000000000003,35.799999999999997,LEBANON,"1996","2019"
"40340099999",29.611619000000001,35.018067000000002,JORDAN,"1981","2021"
"40255099999",32.549999999999997,35.850000000000001,JORDAN,"1981","2021"
"40821099999",31.904907999999999,54.276502999999998,IRAN,"1992","2021"
"40859099999",28.891756000000001,53.723339000000003,IRAN,"1991","2021"
"40706099999",38.133889000000003,46.234999999999999,IRAN,"1990","2021"
"40731099999",36.240057999999998,50.047117000000000,IRAN,"1992","2021"
"40394099999",27.437916999999999,41.686292000000002,SAUDI ARABIA,"1981","2021"
"41598099999",32.933333300000001,73.716666599999996,PAKISTAN,"1981","2021"
"40848099999",29.539332999999999,52.589474000000003,IRAN,"1990","2021"
"41198099999",25.112224999999999,56.323963999999997,AE,"1996","2021"
"40785099999",33.895333000000001,51.577044000000001,IRAN,"1992","2021"
"41314099999",17.666000000000000,54.024611999999998,OMAN,"1983","2018"
"40853099999",29.233333300000002,56.566666599999998,IRAN,"1995","2021"
"40798099999",32.297221999999998,50.842222000000000,IRAN,"1992","2021"
"40729099999",36.773783000000002,48.359113999999998,IRAN,"1992","2021"
