stationid,latitude,longitude,country,min_year,max_year
"71628099999,45.322499999999998,-75.669167000000002,CANADA,""1981"",""2021"""
"71234099999,50.000000000000000,-113.633333300000004,CANADA,""1994"",""2021"""
"72565003017,39.832799999999999,-104.657499999999999,UNITED STATES,""1995"",""2021"""
"71131099999,49.433333300000001,-108.983333299999998,CANADA,""1981"",""2021"""
"71923099999,61.116666600000002,-100.883333300000004,CANADA,""1982"",""2021"""
"71408099999,47.366666600000002,-55.783333300000002,CANADA,""1986"",""2017"""
"72594524283,40.978059999999999,-124.108609999999999,UNITED STATES,""1981"",""2021"""
"72222313899,30.478100000000001,-87.186899999999994,UNITED STATES,""1990"",""2021"""
"70316025624,55.220700000000001,-162.732400000000013,UNITED STATES,""1981"",""2021"""
"71967599999,62.416666700000000,-140.866666699999996,CANADA,""1984"",""2020"""
"71510099999,51.566666599999998,-107.916666599999999,CANADA,""1992"",""2021"""
"72483023232,38.506900000000002,-121.495000000000005,UNITED STATES,""1981"",""2021"""
"70261026411,64.803899999999999,-147.876100000000008,UNITED STATES,""1981"",""2021"""
"72557014943,42.391300000000001,-96.379099999999994,UNITED STATES,""1981"",""2021"""
"72640014839,42.954889999999999,-87.904570000000007,UNITED STATES,""1981"",""2021"""
"74206024207,47.149999999999999,-122.483329999999995,UNITED STATES,""1981"",""2021"""
"71616099999,46.299999999999997,-72.049999999999997,CANADA,""1992"",""2021"""
"72353013967,35.388900000000000,-97.600600000000000,UNITED STATES,""1981"",""2021"""
"72564524022,41.316699999999997,-105.683300000000003,UNITED STATES,""1981"",""2021"""
"71383099999,50.716666600000003,-71.000000000000000,CANADA,""1993"",""2021"""
"71238099999,53.683333300000001,-112.866666600000002,CANADA,""1994"",""2021"""
"70381025309,58.356600000000000,-134.563999999999993,UNITED STATES,""1981"",""2021"""
"71724099999,46.350000000000001,-72.500000000000000,CANADA,""1992"",""2021"""
"71419099999,45.350000000000001,-60.983333299999998,CANADA,""1986"",""2021"""
"71889099999,49.463056000000002,-119.602221999999998,CANADA,""1981"",""2021"""
"72365023050,35.041899999999998,-106.615499999999997,UNITED STATES,""1981"",""2021"""
"72427514894,40.176389999999998,-80.647220000000004,UNITED STATES,""1981"",""2021"""
"72698824219,45.619399999999999,-121.166100000000000,UNITED STATES,""1981"",""2021"""
"99418099999,48.320000000000000,-122.840000000000003,UNITED STATES,""1986"",""2020"""
"71372099999,45.283333300000002,-73.333333300000007,CANADA,""1993"",""2021"""
"71415099999,45.766666600000001,-62.683333300000001,CANADA,""1986"",""2021"""
"71610099999,45.438611000000002,-71.691389000000001,CANADA,""1982"",""2021"""
"70454025704,51.883330000000001,-176.650000000000006,UNITED STATES,""1981"",""2021"""
"72782724110,47.207780000000000,-119.319170000000000,UNITED STATES,""1982"",""2021"""
"71263099999,43.173611000000001,-79.935000000000002,CANADA,""1994"",""2021"""
"74394514710,42.929630000000003,-71.435659999999999,UNITED STATES,""1981"",""2021"""
"72456513920,38.950279999999999,-95.663889999999995,UNITED STATES,""1981"",""2021"""
"71712099999,45.116666600000002,-74.283333299999995,CANADA,""1994"",""2021"""
"71452099999,49.700000000000003,-103.799999999999997,CANADA,""1990"",""2021"""
"72504614707,41.327500000000001,-72.049440000000004,UNITED STATES,""1981"",""2021"""
"70395025325,55.359560000000002,-131.720740000000006,UNITED STATES,""1981"",""2021"""
"71512099999,50.271388799999997,-64.226388799999995,CANADA,""1994"",""2021"""
"72286023119,33.899999999999999,-117.250000000000000,UNITED STATES,""1981"",""2021"""
"71032099999,49.466666600000003,-120.500000000000000,CANADA,""1993"",""2021"""
"72355013945,34.649999999999999,-98.400000000000006,UNITED STATES,""1981"",""2021"""
"71621099999,44.116666600000002,-77.533333299999995,CANADA,""1982"",""2021"""
"71627094792,45.466670000000001,-73.750000000000000,CANADA,""1981"",""2021"""
"71282099999,44.533333300000002,-79.216666599999996,CANADA,""1995"",""2021"""
"71523099999,49.266666600000001,-73.349999999999994,CANADA,""1996"",""2021"""
"99422099999,27.070000000000000,-82.450000000000003,UNITED STATES,""1987"",""2021"""
"72311013873,33.948000000000000,-83.327500000000001,UNITED STATES,""1981"",""2021"""
"71440099999,51.233333299999998,-112.983333299999998,CANADA,""1981"",""2021"""
"72792424223,46.116669999999999,-122.893889999999999,UNITED STATES,""1990"",""2021"""
"71115099999,50.216666600000003,-119.183333300000001,CANADA,""1981"",""2021"""
"72505894793,41.168059999999997,-71.577780000000004,UNITED STATES,""1990"",""2021"""
"72340503930,34.916670000000003,-92.150000000000006,UNITED STATES,""1981"",""2021"""
"72391093111,34.116669999999999,-119.116669999999999,UNITED STATES,""1981"",""2021"""
"72204012838,28.101099999999999,-80.643900000000002,UNITED STATES,""1981"",""2021"""
"99409099999,48.219999999999999,-88.370000000000005,UNITED STATES,""1986"",""2021"""
"71603099999,43.826943999999997,-66.088055999999995,CANADA,""1982"",""2021"""
"72224603844,30.649999999999999,-86.533330000000007,UNITED STATES,""1981"",""2021"""
"72382023182,34.629440000000002,-118.083609999999993,UNITED STATES,""1992"",""2021"""
"72367623048,35.182220000000001,-103.603059999999999,UNITED STATES,""1981"",""2021"""
"72396593209,35.669699999999999,-120.628299999999996,UNITED STATES,""1981"",""2021"""
"72566024028,41.870500000000000,-103.593000000000004,UNITED STATES,""1981"",""2021"""
"72514014778,41.242950000000000,-76.921800000000005,UNITED STATES,""1981"",""2021"""
"72465023065,39.367199999999997,-101.693200000000004,UNITED STATES,""1981"",""2021"""
"71116099999,49.116666600000002,-110.466666599999996,CANADA,""1992"",""2021"""
"71378099999,47.399999999999999,-72.783333299999995,CANADA,""1994"",""2021"""
"72785524114,47.633330000000001,-117.650000000000006,UNITED STATES,""1981"",""2021"""
"72228693806,33.211900000000000,-87.616100000000003,UNITED STATES,""1981"",""2021"""
"72458603919,38.799999999999997,-97.650000000000006,UNITED STATES,""1981"",""2021"""
"71479099999,50.100000000000001,-127.933333300000001,CANADA,""1985"",""2021"""
"72386023169,36.071899999999999,-115.163399999999996,UNITED STATES,""1981"",""2021"""
"71243099999,49.700000000000003,-112.766666599999994,CANADA,""1995"",""2021"""
"72466093037,38.810000000000002,-104.688400000000001,UNITED STATES,""1981"",""2021"""
"71403099999,44.816666599999998,-62.333333300000000,CANADA,""1987"",""2021"""
"71940099999,55.179721999999998,-118.885000000000005,CANADA,""1981"",""2021"""
"72688424148,45.283329999999999,-118.000000000000000,UNITED STATES,""1992"",""2021"""
"71924099999,74.716943999999998,-94.969443999999996,CANADA,""1981"",""2021"""
"72539614815,42.307499999999997,-85.251109999999997,UNITED STATES,""1981"",""2021"""
"72403513773,38.503619999999998,-77.305030000000002,UNITED STATES,""1983"",""2021"""
"71056399999,55.732999999999997,-120.183000000000007,CANADA,""1988"",""2021"""
"72518014735,42.747219999999999,-73.799120000000002,UNITED STATES,""1981"",""2021"""
"72666494173,44.544440000000002,-110.421109999999999,UNITED STATES,""1984"",""2021"""
"72202012839,25.788100000000000,-80.316900000000004,UNITED STATES,""1981"",""2021"""
"72480023157,37.371099999999998,-118.358000000000004,UNITED STATES,""1981"",""2021"""
"71900099999,55.450000000000003,-60.216666600000003,CANADA,""1981"",""2021"""
"72259513911,32.766669999999998,-97.450000000000003,UNITED STATES,""1981"",""2021"""
"71826099999,66.150000000000006,-65.716666599999996,CANADA,""1981"",""2021"""
"72218003820,33.364400000000003,-81.963300000000004,UNITED STATES,""1981"",""2021"""
"72535014848,41.707200000000000,-86.316299999999998,UNITED STATES,""1981"",""2021"""
"71611099999,45.366666600000002,-71.816666600000005,CANADA,""1997"",""2021"""
"72797094240,47.937500000000000,-124.555000000000007,UNITED STATES,""1981"",""2021"""
"71488099999,57.250000000000000,-105.599999999999994,CANADA,""1994"",""2021"""
"99443099999,25.010000000000002,-80.379999999999995,UNITED STATES,""1989"",""2018"""
"71496099999,52.166666599999999,-106.716666599999996,CANADA,""1982"",""2021"""
"72242012923,29.273299999999999,-94.859200000000001,UNITED STATES,""1993"",""2021"""
"72260003969,32.215280000000000,-98.177499999999995,UNITED STATES,""1984"",""2021"""
"71448099999,50.166666599999999,-96.049999999999997,CANADA,""1992"",""2021"""
"71831099999,49.413888999999998,-82.467500000000001,CANADA,""1982"",""2021"""
"72449013993,39.773600000000002,-94.923299999999998,UNITED STATES,""1981"",""2021"""
"72526794868,41.383330000000001,-79.866669999999999,UNITED STATES,""1981"",""2021"""
"72401013740,37.511510000000001,-77.323440000000005,UNITED STATES,""1981"",""2021"""
"72271093045,33.236669999999997,-107.268060000000006,UNITED STATES,""1981"",""2021"""
"72288623130,34.209719999999997,-118.489170000000001,UNITED STATES,""1981"",""2021"""
"71828099999,54.799999999999997,-66.799999999999997,CANADA,""1981"",""2021"""
"72264093035,30.371390000000002,-104.016670000000005,UNITED STATES,""1981"",""2021"""
"72768094008,48.213799999999999,-106.621399999999994,UNITED STATES,""1981"",""2021"""
"72374023194,35.028100000000002,-110.720799999999997,UNITED STATES,""1981"",""2021"""
"70219026615,60.784999999999997,-161.829299999999989,UNITED STATES,""1981"",""2021"""
"71472099999,53.299999999999997,-132.766666600000008,CANADA,""1982"",""2021"""
"71093099999,68.466666700000005,-66.783332999999999,CANADA,""1981"",""2017"""
"71801099999,47.618609999999997,-52.751944999999999,CANADA,""1981"",""2021"""
"70267026415,63.994399999999999,-145.721399999999988,UNITED STATES,""1981"",""2021"""
"71894099999,49.383333299999997,-126.549999999999997,CANADA,""1981"",""2021"""
"72537714804,42.608300000000000,-82.818299999999994,UNITED STATES,""1981"",""2021"""
"71137099999,49.066666599999998,-107.583333300000007,CANADA,""1992"",""2021"""
"71709099999,47.416666599999999,-61.783333300000002,CANADA,""1981"",""2021"""
"71066099999,58.621389000000001,-117.164721999999998,CANADA,""1981"",""2021"""
"72646314897,44.928800000000003,-89.627700000000004,UNITED STATES,""1990"",""2021"""
"72417613736,39.649810000000002,-79.920699999999997,UNITED STATES,""1981"",""2021"""
"71110099999,46.916666599999999,-55.383333299999997,CANADA,""1981"",""2021"""
