"stationid","latitude","longitude","elevation","name","country"
"01001099999",70.9333333,-8.6666667,9,"JAN MAYEN NOR NAVY","NORWAY"
"01003099999",77,15.5,12,"HORNSUND","NORWAY"
"01008099999",78.246111,15.465556,27,"LONGYEAR","SVALBARD"
"01010099999",69.2925,16.144167,13,"ANDOYA","NORWAY"
"01023099999",69.055758,18.540356,77,"BARDUFOSS","NORWAY"
"01025099999",69.683333,18.918919,9,"TROMSO","NORWAY"
"01028099999",74.5166667,19.0166667,18,"BJORNOYA ISLAND","NORWAY"
"01033099999",70.25,19.5,24,"TORSVAG FYR","NORWAY"
"01047099999",69.0166667,23.0666667,307,"KAUTOKEINO II","NORWAY"
"01049099999",69.976111,23.371667,3,"ALTA","NORWAY"
"01055099999",71.1,23.9833333,14,"FRUHOLMEN FYR","NORWAY"
"01062099999",76.5,25.0666667,10,"HOPEN ISLAND","NORWAY"
"01078099999",71.1,28.2333333,10,"SLETTNES FYR","NORWAY"
"01098099999",70.3666666,31.1,15,"VARDO","NORWAY"
"01102099999",65.2,11,16,"SKLINNA FYR","NORWAY"
"01115099999",66.7666666,12.4833333,13,"MYKEN","NORWAY"
"01121099999",66.3666666,12.6166666,10,"SOLVAER III","NORWAY"
"01152099999",67.269167,14.365278,13,"BODO","NORWAY"
"01160099999",68.15,14.65,11,"SKROVA FYR","NORWAY"
"01167099999",68.7,15.4166666,3,"SORTLAND","NORWAY"
"01199099999",68.75,23.5333333,382,"SIHCCAJAVRI","NORWAY"
"01205099999",62.3333333,5.2666666,37,"SVINOY LH","NORWAY"
"01210099999",62.560372,6.110164,21,"VIGRA","NORWAY"
"01212099999",62.8666666,6.5333333,15,"ONA II","NORWAY"
"01218099999",62.2333333,7.4166666,17,"TAFJORD","NORWAY"
"01224099999",62.4666666,6.2166666,50,"AALESUND","NORWAY"
"01227099999",62.7166666,8.7833333,405,"INNERDALEN","NORWAY"
"01228099999",63.85,8.4666666,6,"SULA","NORWAY"
"01238099999",62.1166666,9.2833333,974,"FOKSTUA II","NORWAY"
"01240099999",64.1666666,9.4,16,"HALTEN FYR","NORWAY"
"01241099999",63.698908,9.604003,9,"ORLAND","NORWAY"
"01262099999",64.8,10.55,33,"NORDOYAN FYR","NORWAY"
"01271099999",63.457556,10.939872,17,"VAERNES","NORWAY"
"01288099999",62.5666666,11.3833333,630,"ROROS","NORWAY"
"01304099999",61.5666666,4.6833333,25,"YTTEROYANE FYR","NORWAY"
"01317099999",60.3833333,5.3333333,36,"BERGEN FLORIDA","NORWAY"
"01364099999",61.1833333,8.1166666,955,"FILEFJELL","NORWAY"
"01366099999",61.5666666,8,1413,"SOGNEFJELL","NORWAY"
"01367099999",60.9833333,9.2166666,365,"FAGERNES","NORWAY"
"01374099999",60.9333333,10.0333333,542,"VEST TORPA II","NORWAY"
"01378099999",61.1,10.4666666,239,"LILLEHAMMER SAETHERENGEN","NORWAY"
"01384099999",60.193917,11.100361,208,"GARDERMOEN","NORWAY"
"01389099999",61.1833333,11.3666666,256,"RENA AIRPORT","NORWAY"
"01403099999",59.3,4.8666666,56,"UTSIRA FYR","NORWAY"
"01406099999",59.9166666,5.0666666,16,"SLATTEROY FYR","NORWAY"
"01415099999",58.876667,5.637778,9,"SOLA","NORWAY"
"01424099999",59.65,6.3666666,6,"SAUDA","NORWAY"
"01425099999",58.5166666,6.5166666,66,"EIK HOVE","NORWAY"
"01427099999",58.1166666,6.5666666,14,"LISTA FYR","NORWAY"
"01442099999",58.6666666,7.8,211,"BYGLANDSFJORD","NORWAY"
"01448099999",58.0666666,8.05,8,"OKSOY FYR","NORWAY"
"01452099999",58.204214,8.085369,17,"KJEVIK","NORWAY"
"01455099999",59.0333333,8.5166666,252,"TVEITSUND","NORWAY"
"01465099999",58.4,8.7833333,15,"TORUNGEN FYR","NORWAY"
"01467099999",58.6333333,9.15,5,"LYNGOR FYR","NORWAY"
"01477099999",59.7166666,10.15,193,"KONNERUD","NORWAY"
"01482099999",59.0333333,10.5166666,8,"FERDER LH","NORWAY"
"01488099999",60.1166666,10.8333333,170,"HAKADAL","NORWAY"
"01494099999",59.378889,10.785556,53,"RYGGE","NORWAY"
"02020099999",68.4166666,18.1666666,517,"KATTERJAKK","SWEDEN"
"02036099999",67.85,19.0333333,468,"NIKKALUOKTA","SWEDEN"
"02049099999",67.132408,20.814636,313,"GALLIVARE","SWEDEN"
"02124099999",66.05,17.8333333,432,"ARJEPLOG","SWEDEN"
"02154099999",65.875325,20.149917,182,"VIDSEL","SWEDEN"
"02181099999",66.2666666,22.85,62,"OVERKALIX SVARTBYN","SWEDEN"
"02186099999",65.543758,22.121989,20,"KALLAX","SWEDEN"
"02188099999",65.3166666,22.3833333,2,"RODKALLEN","SWEDEN"
"02221099999",63.8333333,13.5,717,"KORSVATTNET","SWEDEN"
"02245099999",64.5833333,16.85,349,"VILHELMINA","SWEDEN"
"02247099999",63.15,16.1666666,184,"KRANGEDE","SWEDEN"
"02269099999",63.1833333,19.0166666,11,"SKAGSUDDE","SWEDEN"
