stationid,absolute_increase_per_year, relative_increase_per_year_in_% (absolute_increase / middle_value)
01001099999,-0.07,-0.16
01003099999,1.62,2.86
01008099999,0.27,1.05
01010099999,-0.54,-1.21
01023099999,0.06,0.22
01025099999,0.21,0.51
01028099999,0.24,0.53
01033099999,-1.55,-5.62
01047099999,0.14,0.47
01049099999,-0.4,-1.22
01055099999,-1.4,-6.37
01062099999,-0.74,-2.01
01078099999,-0.81,-2.42
01098099999,-0.41,-1.2
01102099999,-1.8,-6.19
01115099999,-0.54,-1.5
01121099999,-1.72,-6.41
01152099999,-1.12,-1.96
01160099999,-1.49,-4.58
01167099999,1.65,2.6
01199099999,1.12,2.56
01205099999,-1.68,-5.03
01210099999,-0.38,-0.78
01212099999,-1.62,-3.71
01218099999,-0.57,-1.16
01224099999,-0.79,-1.52
01227099999,2.32,3.79
01228099999,-1.52,-6.35
01238099999,1.27,3.44
01240099999,-2.27,-9.45
01241099999,0.13,0.26
01262099999,-0.81,-2.73
01271099999,-0.22,-0.5
01288099999,1.08,3.08
01304099999,-2.45,-7.48
01317099999,0.06,0.09
01364099999,0.18,0.5
01366099999,-0.6,-2.66
01367099999,0.08,0.24
01374099999,0.89,2.24
01378099999,0.22,0.72
01384099999,0.21,0.4
01389099999,-0.36,-0.96
01403099999,-0.58,-1.16
01406099999,-1.95,-7.27
01415099999,-1.16,-1.74
01424099999,0.23,0.29
01425099999,1.17,1.34
01427099999,-0.43,-0.74
01442099999,-0.77,-1.36
01448099999,-2.8,-5.98
01452099999,0.46,0.71
01455099999,-0.06,-0.13
01465099999,-0.9,-1.74
01467099999,-2.23,-7.94
01477099999,-0.04,-0.08
01482099999,-1.5,-4.87
01488099999,0.18,0.22
01494099999,-0.13,-0.28
02020099999,-0.25,-0.59
02036099999,-0.07,-0.21
02049099999,0.45,1.52
02124099999,-0.27,-0.83
02154099999,0.44,0.93
02181099999,0.26,1.06
02186099999,-0.3,-0.61
02188099999,0.93,3.54
02221099999,0.58,1.93
02245099999,0.44,1.71
02247099999,0.26,0.9
02269099999,0.28,0.93
02308099999,0.23,0.91
02338099999,0.53,1.85
02355099999,1.14,3.82
02408099999,0.63,2.28
02453099999,1.31,3.51
02456099999,-1.3,-2.93
02458099999,-1.65,-2.8
02476099999,-0.02,-0.08
02488099999,0.64,2.35
02496099999,1.29,2.7
02500099999,-1.07,-2.68
02505099999,0.07,0.22
02513099999,-0.35,-0.98
02518099999,-1.77,-6.76
02520099999,-1.53,-3.0
02536099999,0.45,1.45
02556099999,-0.31,-0.78
02562099999,-0.64,-1.25
02567099999,0.25,1.01
02575099999,0.38,1.52
02590099999,-0.15,-0.34
02605099999,0.17,0.58
02611099999,0.25,0.79
02616099999,-0.49,-1.3
02622099999,-0.0,-0.01
02625099999,0.23,0.77
02628099999,-0.31,-0.97
02644099999,0.0,0.01
02664099999,-0.04,-0.08
02801099999,-0.48,-1.45
02823099999,-0.54,-1.58
02836099999,-0.23,-0.69
02845099999,-0.1,-0.27
02874099999,-1.02,-4.48
02910099999,-1.18,-3.04
02913099999,-0.23,-0.61
02915099999,-0.13,-0.39
02919099999,-1.74,-4.87
02935099999,-0.35,-0.94
02942099999,0.08,0.13
02963099999,-0.47,-1.29
02965099999,-0.31,-0.88
02974099999,-0.35,-0.9
02976099999,-0.82,-2.48
02981099999,-0.29,-0.68
02982099999,-2.37,-6.74
03002099999,0.17,0.59
03005099999,0.06,0.14
03008099999,0.24,0.79
03010099999,-0.02,-5.95
03017099999,0.03,0.09
03023099999,0.08,0.23
03026099999,-1.17,-2.78
03031099999,0.88,1.52
03034099999,-0.15,-0.33
03044099999,1.16,2.62
03047099999,1.06,2.0
03062099999,0.11,0.41
03063099999,1.55,3.11
03065099999,-0.07,-11.08
03066099999,-0.42,-1.04
03068099999,0.11,0.34
03075099999,-0.16,-0.47
03080099999,0.36,0.95
03088099999,-0.26,-0.74
03091099999,0.14,0.3
03100099999,-0.4,-1.06
03111099999,0.02,0.05
03132099999,0.05,0.13
03136099999,-0.16,-0.47
03144099999,1.12,2.72
03148099999,-0.03,-21.15
03153099999,0.1,0.25
03155099999,0.84,2.37
03158099999,0.21,0.63
03162099999,0.04,0.06
03171099999,-0.37,-0.77
03204099999,-1.13,-2.12
03210099999,0.42,1.01
03212099999,-0.13,-0.19
03214099999,-0.12,-0.33
03220099999,0.77,2.17
03224099999,0.61,1.07
03225099999,0.49,0.66
03226099999,0.09,0.26
03230099999,1.86,6.42
03240099999,0.19,0.48
03257099999,-0.37,-0.99
03265099999,-0.05,-0.15
03266099999,-0.15,-0.42
03275099999,0.01,0.01
03302099999,-0.42,-1.01
03305099999,-0.01,-0.01
03313099999,0.28,0.81
03316099999,-0.38,-0.91
03318099999,0.06,0.21
03321099999,0.17,0.51
03344099999,-2.74,-4.82
03354099999,-0.14,-0.4
03373099999,0.02,0.06
03377099999,-0.87,-2.14
03379099999,0.1,0.32
03385099999,-0.08,-14.02
03391099999,-0.22,-0.59
03392099999,1.2,5.05
03405099999,0.25,0.71
03410099999,0.85,1.6
03414099999,0.12,0.37
03462099999,-0.79,-1.91
03469099999,0.1,0.3
03482099999,0.17,0.43
03488099999,0.06,0.2
03502099999,-0.06,-0.17
03503099999,0.32,0.79
03507099999,1.56,4.08
03520099999,0.16,0.5
03529099999,-0.45,-1.3
03544099999,-0.24,-0.82
03560099999,0.35,1.01
03590099999,0.57,1.39
03604099999,-0.85,-1.59
03605099999,-1.0,-2.3
03609099999,-0.03,-0.08
03647099999,-0.38,-1.05
03649099999,-0.29,-0.73
03658099999,0.09,0.23
03660099999,-0.94,-2.4
03672099999,-1.25,-2.68
03684099999,0.93,2.72
03693099999,-0.05,-0.18
03707099999,-0.38,-0.99
03710099999,0.32,0.69
03740099999,-0.93,-2.55
03743099999,0.66,1.88
03746099999,0.11,0.28
03749099999,0.19,0.56
03761099999,0.96,2.55
03768099999,0.28,0.79
03772099999,-0.49,-1.28
03781099999,0.25,0.71
03797035047,0.07,0.21
03803099999,0.09,0.24
03808099999,0.08,0.22
03809099999,-1.52,-2.79
03823099999,0.13,0.29
03827099999,-0.54,-1.23
03840099999,-0.26,-0.6
03853099999,-1.1,-2.32
03857099999,-3.21,-4.84
03862099999,-0.31,-0.79
03866099999,0.08,0.23
03872099999,0.15,0.44
03876099999,0.5,1.69
03882099999,-0.45,-1.14
03894099999,0.57,0.84
03904099999,0.08,0.23
03911099999,-1.02,-2.0
03915099999,-0.49,-1.39
03916099999,-0.37,-0.75
03917099999,-1.07,-2.4
03923099999,0.31,0.73
03953099999,-0.78,-1.2
03955099999,-0.53,-0.88
03962099999,0.04,0.09
03967099999,1.02,2.15
03969099999,-0.27,-0.7
03970099999,-0.26,-0.64
03971099999,-0.09,-0.25
03973099999,0.1,0.27
03976099999,-0.39,-0.98
03980099999,-0.1,-0.3
04202099999,1.02,3.67
04208099999,-0.01,-4.72
04214099999,-0.0,-0.02
04220099999,-0.7,-2.3
04228099999,-0.03,-8.0
04231099999,0.18,0.87
04242099999,-0.0,-1.44
04253099999,-0.0,-0.02
04266099999,0.0,0.88
04272099999,-0.99,-1.5
04285099999,-0.02,-5.53
04301099999,-0.0,-0.95
04312099999,-0.0,-1.6
04313099999,-0.0,-0.89
04320099999,0.54,2.44
04330099999,-0.01,-2.82
04351099999,-0.0,-2.18
04360099999,0.11,0.17
04373099999,-0.0,-3.22
04382099999,-0.0,-1.74
04390099999,2.35,3.57
06011099999,-1.23,-2.2
06030099999,-0.93,-2.08
06041099999,-1.1,-2.4
06052099999,-0.63,-1.49
06058099999,0.12,0.36
06060099999,-0.09,-0.23
06070099999,0.27,0.58
06079099999,-0.66,-1.48
06081099999,-1.24,-5.45
06104099999,0.2,0.6
06110099999,-0.18,-0.5
06119099999,0.08,0.29
06120099999,-0.46,-1.47
06151099999,-4.24,-10.01
06156099999,0.43,1.48
06159099999,-0.37,-1.24
06168099999,-0.01,-7.14
06169099999,0.59,2.24
06170099999,0.2,0.62
06180099999,-0.89,-2.35
06193099999,-0.59,-1.62
06235099999,-1.28,-1.99
06240099999,-0.89,-1.99
06251099999,0.05,0.18
06252099999,-0.02,-13.46
06260099999,-0.6,-1.2
06269099999,-0.54,-1.43
06270099999,-1.3,-2.15
06273099999,-0.35,-0.96
06275099999,0.04,0.09
06277099999,-0.11,-0.32
06279099999,-0.27,-0.71
06280099999,-1.02,-1.93
06283099999,-0.28,-0.8
06286099999,0.04,0.11
06290099999,-1.0,-1.81
06310099999,-0.18,-0.42
06319099999,-0.26,-0.71
06330099999,-0.11,-0.27
