stationid,absolute_increase_per_year, relative_increase_per_year_in_% (absolute_increase / middle_value)
01001099999,0.006,0.13
01003099999,0.127,2.33
01008099999,0.039,1.29
01010099999,0.025,0.44
01023099999,0.013,0.25
01025099999,0.013,0.22
01028099999,0.008,0.2
01033099999,-0.109,-4.58
01047099999,0.016,0.37
01049099999,-0.009,-0.24
01055099999,-0.115,-5.3
01062099999,-0.053,-1.41
01078099999,-0.004,-0.12
01098099999,-0.019,-0.51
01102099999,-0.152,-5.54
01115099999,0.004,0.09
01121099999,-0.17,-5.11
01152099999,0.015,0.24
01160099999,-0.133,-4.27
01167099999,0.12,1.63
01199099999,0.029,0.69
01205099999,-0.169,-5.73
01210099999,0.026,0.35
01212099999,-0.044,-0.82
01218099999,0.011,0.16
01224099999,0.083,1.36
01227099999,0.149,2.03
01228099999,-0.173,-5.26
01238099999,0.069,1.66
01240099999,-0.267,-8.9
01241099999,0.04,0.7
01262099999,-0.146,-4.41
01271099999,-0.011,-0.21
01288099999,0.033,0.75
01304099999,-0.281,-7.74
01317099999,0.041,0.4
01364099999,-0.046,-0.95
01366099999,-0.04,-1.62
01367099999,0.019,0.39
01374099999,0.028,0.43
01378099999,-0.003,-0.05
01384099999,0.042,0.61
01389099999,-0.023,-0.42
01403099999,0.05,0.87
01406099999,-0.267,-7.24
01415099999,-0.022,-0.31
01424099999,0.089,0.77
01425099999,-0.046,-0.36
01427099999,0.012,0.19
01442099999,-0.018,-0.22
01448099999,-0.247,-6.05
01452099999,0.074,0.87
01455099999,-0.068,-1.02
01465099999,0.015,0.21
01467099999,-0.32,-8.1
01477099999,0.052,0.74
01482099999,-0.182,-4.43
01488099999,0.101,1.26
01494099999,0.001,0.01
02020099999,0.018,0.35
02036099999,0.009,0.18
02049099999,0.06,1.13
02124099999,0.015,0.31
02154099999,0.049,0.86
02181099999,0.048,0.98
02186099999,0.014,0.24
02188099999,0.08,1.71
02221099999,0.072,1.42
02245099999,0.05,1.09
02247099999,0.023,0.5
02269099999,0.036,0.74
02308099999,0.029,0.63
02338099999,0.053,1.06
02355099999,0.049,1.0
