stationid,absolute_increase_per_year, relative_increase_per_year_in_% (absolute_increase / middle_value)
1001099999,0.39,0.69
1003099999,8.35,8.4
1008099999,0.35,1.27
1010099999,-1.92,-2.82
1023099999,0.05,0.15
1025099999,-0.02,-0.03
1028099999,-0.07,-0.12
1033099999,-1.85,-5.01
1047099999,0.16,0.56
1049099999,-0.31,-1.08
1055099999,-2.36,-6.55
1062099999,-1.97,-4.33
1078099999,-0.62,-1.34
1098099999,-1.73,-4.34
1102099999,-3.9,-7.8
1115099999,-0.49,-1.08
1121099999,-2.23,-6.06
1152099999,-1.22,-1.64
1160099999,-2.38,-5.68
1167099999,3.44,3.46
1199099999,7.89,7.87
1205099999,-2.93,-5.27
1210099999,-0.84,-1.15
1212099999,-4.16,-6.9
1218099999,-1.07,-1.78
1224099999,1.39,1.76
1227099999,28.39,10.56
1228099999,-3.22,-7.84
1238099999,12.89,10.54
1240099999,-3.25,-8.38
1241099999,0.34,0.48
1262099999,-1.0,-2.56
1271099999,0.0,0.01
1288099999,1.77,4.18
1304099999,-3.46,-7.02
1317099999,0.69,0.5
1364099999,0.88,2.25
1366099999,-0.27,-0.7
1367099999,1.07,2.12
1374099999,2.64,4.72
1378099999,1.06,2.63
1384099999,0.17,0.27
1389099999,0.51,1.09
1403099999,-1.21,-1.66
1406099999,-3.8,-8.63
1415099999,-1.64,-1.78
1424099999,1.45,1.2
1425099999,2.93,2.05
1427099999,-0.73,-1.0
1442099999,-0.65,-0.87
1448099999,-3.14,-5.26
1452099999,1.35,1.35
1455099999,1.31,2.38
1465099999,-0.94,-1.44
1467099999,-2.42,-8.08
1477099999,2.24,2.54
1482099999,-1.35,-4.07
1488099999,4.14,2.91
1494099999,0.48,0.83
2020099999,-1.03,-1.95
2036099999,0.18,0.52
2049099999,1.13,2.87
2124099999,-0.44,-1.21
2154099999,2.05,3.66
2181099999,1.23,4.61
2186099999,-1.29,-2.34
2188099999,2.32,6.27
2221099999,0.74,1.55
2245099999,0.62,2.15
2247099999,0.46,1.62
2269099999,-0.09,-0.38
2308099999,-0.24,-0.91
2338099999,1.15,4.14
2355099999,1.8,6.03
2408099999,2.05,5.59
2453099999,2.77,6.55
2456099999,-1.96,-4.96
2458099999,-3.0,-4.5
