stationid,absolute_increase_per_year,relative_increase_per_year_in_% (absolute_increase / middle_value_from_all_years)
01001099999,2.05,4.99
01003099999,8.11,14.3
01008099999,-0.15,-0.56
01010099999,0.51,1.15
01023099999,-0.05,-0.2
01025099999,-2.08,-5.05
01028099999,2.66,5.77
01047099999,0.45,1.55
01049099999,-3.71,-11.46
01062099999,0.4,1.08
01078099999,-2.32,-6.92
01098099999,-0.04,-0.12
01115099999,-0.57,-1.58
01152099999,-0.13,-0.23
01167099999,8.36,13.16
01199099999,7.61,17.49
01210099999,-1.07,-2.18
01212099999,-3.07,-7.03
01218099999,0.91,1.86
01228099999,-1.12,-4.7
01238099999,8.13,22.08
01240099999,-1.52,-6.3
01241099999,0.98,2.02
01262099999,-1.52,-5.11
01271099999,-0.73,-1.64
01288099999,5.36,15.31
01317099999,0.91,1.23
01364099999,4.4,12.16
01366099999,4.2,18.79
01367099999,-2.68,-7.67
01374099999,1.14,2.86
01378099999,0.24,0.78
01384099999,-0.81,-1.56
01389099999,-0.69,-1.81
01403099999,0.23,0.47
01415099999,-2.02,-3.02
01424099999,1.09,1.39
01425099999,1.12,1.28
01427099999,0.89,1.53
01442099999,0.2,0.35
01452099999,0.4,0.61
01455099999,0.16,0.34
01465099999,-0.88,-1.72
01477099999,1.22,2.33
01488099999,7.09,8.64
01494099999,-0.37,-0.8
02020099999,-0.11,-0.25
02036099999,0.26,0.84
02049099999,0.38,1.28
02124099999,-0.15,-0.47
02154099999,1.46,3.11
02181099999,-0.19,-0.77
02186099999,-0.43,-0.89
02188099999,1.14,4.33
02221099999,0.11,0.36
02245099999,-0.72,-2.8
02247099999,0.24,0.82
02269099999,-0.11,-0.36
02308099999,-0.36,-1.4
02338099999,0.14,0.47
02355099999,1.44,4.84
02408099999,-0.8,-2.89
02453099999,-0.36,-0.96
02456099999,0.57,1.29
02458099999,-0.79,-1.34
02476099999,-1.24,-4.34
02488099999,-0.0,-0.01
02500099999,-1.28,-3.21
02505099999,-2.38,-7.87
02513099999,-1.13,-3.14
02518099999,-0.2,-0.76
02520099999,0.51,0.99
02536099999,-0.04,-0.11
02556099999,1.87,4.71
02562099999,-0.66,-1.29
02567099999,-0.49,-1.96
02575099999,-0.68,-2.73
02605099999,-2.33,-7.86
02611099999,-1.78,-5.56
02622099999,-0.64,-1.8
02625099999,-0.76,-2.54
02628099999,-1.17,-3.62
02644099999,-1.39,-5.41
02664099999,3.29,6.64
02801099999,0.35,1.05
02823099999,1.16,3.39
02836099999,-0.01,-0.04
02845099999,1.5,4.02
02874099999,-0.31,-1.38
02910099999,-2.27,-5.85
02913099999,-2.35,-6.08
02915099999,0.56,1.7
02935099999,-0.41,-1.1
02942099999,3.28,5.3
02963099999,-0.32,-0.88
02974099999,0.29,0.75
02976099999,3.18,9.65
02981099999,-1.81,-4.22
02982099999,1.66,4.73
03002099999,-0.74,-2.54
03005099999,0.38,0.93
03008099999,-1.07,-3.5
03017099999,0.51,1.46
03023099999,0.89,2.55
03026099999,-0.41,-0.96
03031099999,3.21,5.55
03034099999,1.01,2.28
03044099999,3.22,7.24
03047099999,2.76,5.22
03062099999,-0.83,-3.09
03063099999,8.18,16.39
03066099999,0.25,0.63
03068099999,-1.03,-3.17
03075099999,0.62,1.79
03080099999,0.58,1.53
03088099999,0.13,0.37
03091099999,2.24,4.84
03100099999,0.31,0.81
03111099999,0.73,1.81
03132099999,-0.14,-0.38
03136099999,-0.21,-0.62
03144099999,2.08,5.06
03153099999,0.26,0.67
03155099999,2.82,7.9
03158099999,0.16,0.48
03162099999,0.08,0.13
03171099999,-0.11,-0.23
03204099999,-0.51,-0.95
03210099999,0.57,1.36
03212099999,0.2,0.31
03214099999,-0.65,-1.76
03220099999,0.85,2.4
03224099999,2.12,3.77
03225099999,1.41,1.9
03226099999,0.27,0.79
03230099999,2.73,9.4
03240099999,1.08,2.81
03257099999,-1.26,-3.41
03265099999,0.16,0.5
03266099999,0.15,0.45
03275099999,-0.55,-1.45
03302099999,0.15,0.36
03305099999,0.83,0.95
03313099999,-0.22,-0.63
03316099999,-5.25,-12.67
03318099999,0.48,1.68
03321099999,-1.31,-3.95
03344099999,-0.82,-1.44
03354099999,0.62,1.74
03373099999,1.46,4.1
03377099999,0.45,1.1
03379099999,0.84,2.69
03391099999,1.72,4.71
03392099999,0.96,4.03
03405099999,0.01,0.04
03410099999,2.05,3.87
03414099999,0.16,0.52
03462099999,-0.89,-2.15
03469099999,0.41,1.27
03482099999,3.29,8.4
03488099999,0.23,0.77
03502099999,0.72,1.95
03503099999,0.08,0.2
03507099999,0.83,2.18
03520099999,-0.05,-0.15
03529099999,-1.93,-5.52
03544099999,-0.05,-0.16
03560099999,2.57,7.42
03590099999,4.15,10.12
