stationid,absolute_increase_per_year,relative_increase_per_year_in_% (absolute_increase / middle_value_from_all_years)
01001099999,-0.044,-0.96
01003099999,0.407,7.46
01008099999,0.032,1.05
01010099999,0.13,2.27
01023099999,-0.036,-0.71
01025099999,-0.044,-0.74
01028099999,0.067,1.73
01047099999,-0.006,-0.13
01049099999,-0.262,-6.86
01062099999,-0.109,-2.89
01078099999,-0.42,-13.56
01098099999,0.16,4.32
01115099999,-0.044,-0.91
01152099999,0.005,0.08
01167099999,0.082,1.11
01199099999,0.241,5.73
01210099999,0.04,0.55
01212099999,-0.603,-11.36
01218099999,-0.02,-0.29
01228099999,-0.283,-8.59
01238099999,0.551,13.21
01240099999,-0.301,-10.03
01241099999,0.059,1.01
01262099999,-0.407,-12.32
01271099999,-0.184,-3.41
01288099999,0.081,1.84
01317099999,0.164,1.59
01364099999,0.12,2.47
01366099999,0.433,17.73
01367099999,-0.308,-6.26
01374099999,-0.039,-0.6
01378099999,-0.124,-2.54
01384099999,-0.11,-1.6
01389099999,-0.218,-3.95
01403099999,0.13,2.26
01415099999,0.104,1.46
01424099999,0.302,2.61
01425099999,-0.139,-1.09
01427099999,-0.087,-1.3
01442099999,-0.167,-2.06
01452099999,0.008,0.09
01455099999,-0.347,-5.24
01465099999,-0.206,-2.93
01477099999,-0.003,-0.05
01488099999,0.232,2.9
01494099999,-0.105,-1.45
02020099999,0.017,0.33
02036099999,0.004,0.08
02049099999,0.01,0.2
02124099999,0.015,0.32
02154099999,0.115,2.02
02181099999,-0.043,-0.87
02186099999,0.101,1.79
02188099999,0.036,0.77
02221099999,0.03,0.59
02245099999,-0.002,-0.05
02247099999,0.018,0.39
02269099999,0.004,0.08
02308099999,-0.016,-0.35
02338099999,0.066,1.3
02355099999,0.002,0.04
02408099999,-0.059,-1.08
02453099999,0.054,1.03
02456099999,-0.021,-0.37
02458099999,-0.021,-0.37
02476099999,-0.037,-0.73
02488099999,-0.004,-0.09
02500099999,-0.014,-0.22
02505099999,-0.066,-1.32
02513099999,0.01,0.14
02518099999,-0.074,-2.15
02520099999,0.016,0.29
02536099999,-0.056,-0.92
02556099999,0.02,0.37
02562099999,-0.007,-0.13
02567099999,-0.005,-0.11
02575099999,-0.009,-0.19
02605099999,-0.063,-1.21
02611099999,-0.04,-0.76
02622099999,-0.019,-0.34
02625099999,-0.051,-1.04
02628099999,-0.034,-0.69
02644099999,-0.003,-0.06
02664099999,0.052,0.9
02801099999,0.008,0.17
02823099999,0.041,0.9
02836099999,-0.013,-0.28
02845099999,-0.017,-0.33
02874099999,0.022,0.62
02910099999,-0.343,-8.4
02913099999,-0.046,-0.95
02915099999,0.003,0.06
02935099999,-0.025,-0.48
02942099999,0.808,11.73
02963099999,-0.012,-0.22
02974099999,0.036,0.64
02976099999,0.525,12.25
02981099999,0.015,0.28
02982099999,0.376,9.97
03002099999,-0.016,-0.32
03005099999,-0.007,-0.12
03008099999,-0.029,-0.58
03017099999,-0.009,-0.17
03023099999,0.012,0.2
03026099999,0.04,0.69
03031099999,0.042,0.53
03034099999,0.004,0.05
03044099999,0.091,1.52
03047099999,0.102,1.28
03062099999,-0.025,-0.57
03063099999,0.259,4.2
03066099999,0.011,0.23
03068099999,-0.01,-0.21
03075099999,0.007,0.15
03080099999,0.014,0.24
03088099999,-0.064,-1.25
03091099999,0.007,0.12
03100099999,0.036,0.58
03111099999,0.007,0.11
03132099999,-0.016,-0.25
03136099999,-0.015,-0.25
03144099999,-0.015,-0.24
03153099999,0.05,0.72
03155099999,0.122,2.21
03158099999,-0.017,-0.34
03162099999,0.023,0.25
03171099999,-0.024,-0.43
03204099999,-0.023,-0.39
03210099999,0.081,1.25
03212099999,0.067,0.75
03214099999,0.041,0.67
03220099999,0.037,0.66
03224099999,0.129,1.74
03225099999,-0.024,-0.24
03226099999,0.028,0.5
03230099999,0.063,1.46
03240099999,0.003,0.06
03257099999,-0.05,-0.96
03265099999,0.003,0.05
03266099999,-0.03,-0.59
03275099999,0.0,0.01
03302099999,0.011,0.18
03305099999,-0.003,-0.03
03313099999,0.032,0.6
03316099999,-0.016,-0.3
03318099999,0.112,2.11
03321099999,-0.056,-1.08
03344099999,-0.005,-0.07
03354099999,0.007,0.13
03373099999,-0.01,-0.19
03377099999,-0.015,-0.28
03379099999,0.014,0.26
03391099999,0.031,0.61
03392099999,0.016,0.42
03405099999,-0.012,-0.2
03410099999,0.065,0.74
03414099999,0.004,0.09
03462099999,-0.01,-0.2
03469099999,-0.018,-0.37
03482099999,0.057,1.05
03488099999,-0.016,-0.32
03502099999,0.034,0.57
