stationid,absolute_increase_per_year,relative_increase_per_year_in_% (absolute_increase / middle_value_from_all_years)
1001099999,3.92,6.84
1003099999,33.46,33.65
1008099999,1.57,5.77
1010099999,2.62,3.83
1023099999,0.39,1.11
1025099999,-6.58,-13.7
1028099999,4.19,7.88
1047099999,2.69,9.59
1049099999,-5.08,-17.57
1062099999,0.93,2.04
1078099999,-2.09,-4.51
1098099999,0.89,2.24
1115099999,-1.92,-4.2
1152099999,0.2,0.27
1167099999,11.32,11.36
1199099999,48.94,48.82
1210099999,-1.49,-2.06
1212099999,-2.0,-3.32
1218099999,3.53,5.86
1228099999,-0.86,-2.08
1238099999,79.38,64.92
1240099999,-0.57,-1.48
1241099999,4.35,6.04
1262099999,-0.53,-1.34
1271099999,-1.5,-2.44
1288099999,9.37,22.14
1317099999,8.88,6.36
1364099999,11.48,29.38
1366099999,9.98,25.4
1367099999,-5.44,-10.81
1374099999,1.42,2.55
1378099999,2.24,5.56
1384099999,-2.59,-4.27
1389099999,-4.36,-9.32
1403099999,1.09,1.48
1415099999,-7.4,-8.06
1424099999,5.06,4.2
1425099999,4.04,2.82
1427099999,1.62,2.22
1442099999,0.07,0.1
1452099999,4.59,4.61
1455099999,-0.45,-0.82
1465099999,-3.62,-5.53
1477099999,5.47,6.19
1488099999,26.13,18.35
1494099999,0.07,0.12
2020099999,-2.33,-4.41
2036099999,0.72,2.13
2049099999,0.92,2.34
2124099999,-2.02,-5.58
2154099999,4.14,7.41
2181099999,-0.6,-2.26
2186099999,-6.35,-11.5
2188099999,3.56,9.6
2221099999,0.04,0.09
2245099999,-2.27,-7.89
2247099999,1.15,4.08
2269099999,-0.83,-3.39
2308099999,-0.98,-3.7
2338099999,0.49,1.75
2355099999,0.9,3.03
2408099999,-5.06,-13.79
2453099999,2.25,5.34
2456099999,-2.21,-5.58
2458099999,-2.87,-4.3
2476099999,-3.94,-20.66
2488099999,-0.7,-1.94
2500099999,-2.59,-6.69
2505099999,-4.31,-18.86
2513099999,-3.52,-11.58
2520099999,5.59,8.91
2536099999,-1.04,-3.13
2556099999,8.57,15.01
2562099999,-1.02,-1.61
2567099999,-0.39,-1.46
2575099999,-2.31,-10.03
2605099999,-7.2,-21.04
2611099999,-4.86,-17.83
2622099999,-2.29,-6.39
2625099999,-0.97,-2.93
2628099999,-4.89,-18.55
2644099999,-1.38,-6.18
2664099999,3.36,5.52
2801099999,0.9,2.21
2823099999,2.43,6.14
2836099999,0.53,1.26
2845099999,2.41,5.27
2874099999,-0.06,-0.27
2910099999,-1.41,-2.4
2913099999,-2.7,-6.54
2915099999,0.39,0.96
2935099999,-3.14,-8.15
2942099999,40.61,31.57
2963099999,0.39,0.99
2974099999,2.09,4.42
2976099999,2.03,4.54
2981099999,-4.42,-9.53
2982099999,0.7,1.94
3002099999,-5.19,-10.25
3005099999,6.09,7.69
3008099999,-4.16,-8.16
3017099999,1.94,3.24
3023099999,5.24,7.85
3026099999,1.85,2.48
3031099999,17.94,14.29
3034099999,5.85,7.86
3044099999,18.67,18.42
3047099999,18.58,16.14
3062099999,-0.73,-2.2
3063099999,50.49,35.47
3066099999,-0.46,-0.89
3068099999,-2.93,-7.63
3075099999,2.27,4.03
3080099999,0.24,0.43
3088099999,-0.09,-0.21
3091099999,3.23,4.87
3100099999,-0.78,-1.19
3111099999,2.66,3.78
3132099999,0.75,1.22
3136099999,-1.24,-2.49
3144099999,6.29,8.09
3153099999,1.82,3.02
3155099999,20.58,25.88
3158099999,0.79,1.72
3162099999,1.63,1.52
3171099999,-5.45,-8.99
3204099999,-3.5,-4.93
3210099999,3.76,5.41
3212099999,2.86,2.74
3214099999,-1.14,-2.01
3220099999,3.92,5.9
3224099999,15.16,12.09
3225099999,17.72,13.13
3226099999,4.08,7.35
3230099999,12.18,16.59
3240099999,0.82,1.66
3257099999,-6.15,-14.26
3265099999,-1.64,-5.09
3266099999,-1.92,-4.66
3275099999,0.14,0.29
3302099999,-0.39,-0.61
3305099999,7.0,3.98
3313099999,-2.92,-5.76
3316099999,-8.9,-15.41
3318099999,7.38,17.17
3321099999,-4.22,-10.17
3344099999,-0.33,-0.37
3354099999,1.67,3.57
3373099999,2.44,6.75
3377099999,1.61,3.63
3379099999,-1.17,-3.18
3391099999,1.27,3.13
3392099999,1.78,5.67
3405099999,5.92,9.31
3410099999,16.23,16.1
3414099999,0.05,0.13
3462099999,-0.88,-2.04
3469099999,-1.82,-5.42
3482099999,7.2,14.4
3488099999,0.81,2.18
3502099999,8.47,14.59
3503099999,2.89,4.55
3507099999,4.53,7.41
3520099999,-1.76,-4.51
3529099999,-5.55,-14.14
3544099999,-0.19,-0.65
3560099999,4.37,13.13
3590099999,9.6,16.77
3604099999,-3.79,-5.33
3605099999,3.19,4.89
3609099999,5.18,8.23
3647099999,-4.58,-11.78
3649099999,-5.88,-14.13
3658099999,5.04,10.92
3660099999,-4.18,-10.22
3672099999,-0.61,-1.19
3684099999,5.44,12.18
3693099999,2.09,6.4
3707099999,0.48,0.79
