"year","count","average"
1981,705,7.43
1982,709,8.06
1983,733,7.92
1984,763,7.12
1985,772,6.85
1986,787,6.90
1987,793,7.12
1988,55,6.20
1989,853,7.08
1990,860,6.95
1991,874,7.43
1992,825,7.56
1993,856,7.71
1994,874,7.81
1995,883,6.84
1996,912,6.94
1997,961,7.39
1998,994,6.74
1999,1028,6.87
2000,986,7.16
2001,993,6.88
2002,998,7.48
2003,1006,7.33
2004,1009,7.31
2005,905,7.23
2006,993,7.65
2007,998,7.76
2008,991,7.93
2009,995,7.54
2010,985,7.65
2011,989,7.50
2012,990,7.53
2013,998,7.34
2014,1008,7.65
2015,1035,7.36
2016,1049,7.43
2017,1033,7.40
2018,1024,7.34
2019,1028,7.50
2020,1021,7.78
2021,997,7.68
