"year","r95p_count","r95p_average"
1981,666,188.4
1982,687,241.1
1983,700,186.5
1984,711,174.8
1985,718,164.8
1986,736,165.3
1987,765,189.8
1988,55,164.5
1989,807,159.2
1990,795,181.5
1991,838,209.9
1992,792,218.5
1993,816,228.2
1994,845,235.8
1995,838,183.5
1996,872,180.4
1997,909,176.4
1998,930,166.9
1999,954,165.7
2000,897,177.8
2001,902,153.5
2002,955,199.5
2003,961,147.1
2004,980,164.2
2005,869,175.5
2006,963,177.0
2007,964,187.8
2008,971,184.1
2009,972,187.1
2010,967,207.1
2011,946,173.2
2012,962,187.8
2013,961,185.4
2014,977,215.4
2015,988,168.9
2016,1008,198.6
2017,966,196.0
2018,984,187.2
2019,968,196.8
2020,969,217.4
2021,948,209.7
