"year","count","r99p_average"
1981,396,108
1982,495,169
1983,411,142
1984,411,112
1985,399,115
1986,419,110
1987,489,113
1988,36,101
1989,452,104
1990,481,123
1991,511,131
1992,479,145
1993,561,166
1994,602,171
1995,513,118
1996,511,111
1997,510,107
1998,517,89
1999,534,89
2000,484,94
2001,471,84
2002,592,107
2003,482,89
2004,527,89
2005,498,99
2006,546,94
2007,580,92
2008,573,88
2009,566,91
2010,620,102
2011,542,89
2012,539,83
2013,582,90
2014,593,105
2015,513,89
2016,594,105
2017,547,118
2018,559,115
2019,524,114
2020,581,125
2021,577,138
