"year","count","average"
1981,712,57
1982,719,77
1983,742,67
1984,769,59
1985,780,56
1986,805,54
1987,817,59
1988,55,64
1989,865,55
1990,881,59
1991,908,59
1992,859,61
1993,883,74
1994,910,79
1995,923,58
1996,947,55
1997,1019,52
1998,1050,46
1999,1070,45
2000,1017,46
2001,1033,44
2002,1040,51
2003,1052,47
2004,1045,46
2005,941,49
2006,1029,49
2007,1037,48
2008,1032,47
2009,1032,47
2010,1030,49
2011,1041,45
2012,1041,44
2013,1044,45
2014,1054,49
2015,1081,44
2016,1091,47
2017,1080,46
2018,1068,49
2019,1073,46
2020,1064,47
2021,1033,50
