"year","count","average"
1981,50,20.73
1982,52,17.15
1983,57,20.65
1984,60,17.75
1985,64,14.94
1986,38,11.68
1987,50,15.13
1988,52,14.82
1989,71,14.07
1990,78,13.27
1991,81,14.11
1992,80,12.01
1993,90,17.12
1994,85,13.49
1995,101,27.39
1996,111,25.99
1997,124,19.59
1998,124,22.45
1999,92,12.31
2000,92,11.92
2001,92,11.93
2002,126,26.92
2003,118,31.49
2004,105,25.17
2005,108,25.49
2006,117,14.35
2007,119,13.82
2008,113,14.31
2009,121,15.38
2010,121,14.24
2011,114,14.61
2012,114,12.63
2013,113,15.26
2014,112,13.21
2015,119,14.27
2016,124,16.08
2017,118,13.72
2018,119,13.60
2019,119,13.85
2020,116,14.15
2021,115,13.87
