"year","r95p_count","r95p_average"
1981,36,928.0
1982,39,524.8
1983,49,350.3
1984,47,427.0
1985,48,340.5
1986,33,296.2
1987,44,437.7
1988,48,442.7
1989,60,236.3
1990,71,275.9
1991,70,286.6
1992,70,280.3
1993,78,405.6
1994,65,292.2
1995,79,412.2
1996,84,345.2
1997,85,323.4
1998,89,386.4
1999,71,269.3
2000,69,263.8
2001,67,250.8
2002,81,311.3
2003,100,462.7
2004,72,337.8
2005,85,357.4
2006,86,282.3
2007,96,289.2
2008,91,342.3
2009,86,279.9
2010,97,386.5
2011,87,382.5
2012,88,281.1
2013,81,324.2
2014,85,306.0
2015,88,263.3
2016,92,293.3
2017,96,333.9
2018,86,244.3
2019,88,254.5
2020,81,370.4
2021,84,267.8
