"year","count","r99p_average"
1981,27,789
1982,25,384
1983,23,235
1984,25,342
1985,22,288
1986,21,173
1987,25,248
1988,26,245
1989,27,203
1990,27,171
1991,32,252
1992,30,210
1993,42,282
1994,26,264
1995,35,370
1996,42,265
1997,37,221
1998,42,252
1999,31,206
2000,30,209
2001,23,202
2002,30,209
2003,49,333
2004,28,291
2005,34,273
2006,37,187
2007,40,204
2008,47,207
2009,36,186
2010,42,254
2011,52,232
2012,35,201
2013,41,213
2014,40,171
2015,30,212
2016,40,207
2017,50,223
2018,34,172
2019,38,203
2020,42,265
2021,36,165
