"year","count","rx1day_average"
1981,53,163
1982,55,123
1983,60,111
1984,63,119
1985,67,98
1986,55,72
1987,67,92
1988,67,103
1989,92,80
1990,101,74
1991,114,76
1992,116,68
1993,120,99
1994,110,75
1995,117,109
1996,126,107
1997,137,91
1998,135,102
1999,133,63
2000,129,65
2001,129,58
2002,129,105
2003,126,136
2004,118,104
2005,125,104
2006,135,76
2007,136,81
2008,136,85
2009,138,77
2010,140,81
2011,140,83
2012,141,68
2013,130,81
2014,130,73
2015,140,68
2016,139,79
2017,141,80
2018,138,72
2019,138,77
2020,136,77
2021,137,68
