"year","count","rx5day_average"
1981,53,206
1982,55,162
1983,60,140
1984,63,166
1985,67,150
1986,55,115
1987,67,138
1988,67,155
1989,92,116
1990,101,116
1991,114,109
1992,116,100
1993,120,147
1994,110,108
1995,117,153
1996,126,148
1997,137,131
1998,135,151
1999,133,88
2000,129,92
2001,129,83
2002,129,151
2003,126,203
2004,118,154
2005,125,152
2006,135,111
2007,136,125
2008,136,136
2009,138,118
2010,140,131
2011,140,131
2012,141,107
2013,130,122
2014,130,112
2015,140,107
2016,139,117
2017,141,126
2018,138,107
2019,138,109
2020,136,124
2021,137,101
