"year","count","average"
1981,51,18.50
1982,36,20.88
1983,61,19.87
1984,59,16.54
1985,53,19.62
1986,46,15.79
1987,40,9.00
1988,36,6.57
1989,61,15.09
1990,74,18.27
1991,82,18.41
1992,91,13.62
1993,90,19.26
1994,96,22.89
1995,102,22.56
1996,99,18.63
1997,109,18.14
1998,74,15.61
1999,58,7.69
2000,102,12.52
2001,105,9.48
2002,115,14.64
2003,102,10.88
2004,115,12.68
2005,119,11.48
2006,128,10.66
2007,129,10.65
2008,133,11.31
2009,130,11.08
2010,134,12.95
2011,134,9.63
2012,134,8.93
2013,130,11.21
2014,126,10.29
2015,133,11.72
2016,130,11.15
2017,128,10.90
2018,125,9.89
2019,120,10.60
2020,119,11.85
2021,113,14.13
