"year","count","r99p_average"
1981,5,179
1982,7,120
1983,2,178
1984,4,82
1985,1,92
1986,4,106
1987,4,117
1988,2,116
1989,3,89
1990,15,176
1991,15,116
1992,19,163
1993,17,171
1994,14,152
1995,19,175
1996,9,126
1997,10,132
1998,10,209
1999,3,118
2000,16,113
2001,12,187
2002,16,132
2003,5,109
2004,17,119
2005,18,128
2006,14,151
2007,19,142
2008,11,153
2009,15,145
2010,17,151
2011,20,147
2012,21,127
2013,25,284
2014,16,343
2015,23,336
2016,22,334
2017,18,305
2018,19,356
2019,30,245
2020,29,314
2021,17,449
