"year","count","average"
1981,54,51
1982,44,49
1983,75,38
1984,80,24
1985,77,23
1986,74,26
1987,75,18
1988,68,15
1989,75,27
1990,87,52
1991,96,49
1992,110,52
1993,118,48
1994,114,59
1995,125,55
1996,123,42
1997,123,44
1998,100,37
1999,110,15
2000,122,39
2001,132,32
2002,131,45
2003,124,35
2004,128,42
2005,134,47
2006,134,49
2007,136,47
2008,135,47
2009,136,51
2010,138,54
2011,136,49
2012,136,44
2013,132,60
2014,132,48
2015,136,57
2016,133,52
2017,132,45
2018,130,46
2019,125,59
2020,123,65
2021,123,47
