"year","count","rx5day_average"
1981,54,52
1982,44,53
1983,75,41
1984,80,25
1985,77,26
1986,74,23
1987,75,21
1988,68,16
1989,75,29
1990,87,52
1991,96,55
1992,110,58
1993,118,55
1994,114,61
1995,125,63
1996,123,52
1997,123,56
1998,100,44
1999,110,19
2000,122,46
2001,132,42
2002,131,55
2003,124,48
2004,128,55
2005,134,59
2006,134,65
2007,136,57
2008,135,62
2009,136,64
2010,138,76
2011,136,66
2012,136,61
2013,132,81
2014,132,66
2015,136,75
2016,133,71
2017,132,65
2018,130,63
2019,125,82
2020,123,84
2021,123,67
