"year","count","average"
1981,610,8.78
1982,607,9.21
1983,630,8.84
1984,639,8.42
1985,652,8.80
1986,653,8.87
1987,648,8.68
1988,660,8.40
1989,661,8.52
1990,665,8.95
1991,662,8.86
1992,664,8.86
1993,682,8.93
1994,713,8.89
1995,721,12.15
1996,749,9.21
1997,775,8.70
1998,788,9.16
1999,811,8.98
2000,667,8.42
2001,670,8.25
2002,707,8.77
2003,678,8.61
2004,770,8.91
2005,739,9.50
2006,827,9.13
2007,835,8.80
2008,851,9.24
2009,855,8.88
2010,858,9.38
2011,844,8.81
2012,854,8.49
2013,857,8.72
2014,853,8.89
2015,868,9.27
2016,867,9.25
2017,863,9.25
2018,857,9.31
2019,862,9.07
2020,844,8.60
2021,856,8.92
