"year","count","r99p_average"
1981,309,129
1982,342,204
1983,351,133
1984,293,114
1985,347,123
1986,320,129
1987,287,127
1988,276,114
1989,287,135
1990,360,134
1991,308,126
1992,290,162
1993,310,116
1994,319,127
1995,434,209
1996,378,129
1997,359,115
1998,419,124
1999,366,111
2000,291,107
2001,263,101
2002,305,119
2003,311,117
2004,413,116
2005,423,139
2006,410,120
2007,439,117
2008,445,130
2009,408,119
2010,489,121
2011,438,134
2012,381,117
2013,452,119
2014,447,121
2015,498,154
2016,475,181
2017,497,157
2018,496,158
2019,431,147
2020,406,134
2021,448,127
