"year","count","average"
1981,659,58
1982,681,67
1983,687,59
1984,703,53
1985,715,58
1986,743,54
1987,751,50
1988,756,47
1989,755,49
1990,740,56
1991,741,52
1992,765,52
1993,790,48
1994,825,49
1995,851,66
1996,849,52
1997,876,50
1998,856,56
1999,861,52
2000,708,49
2001,712,47
2002,729,51
2003,728,51
2004,817,55
2005,769,64
2006,859,56
2007,864,59
2008,892,59
2009,901,54
2010,908,60
2011,908,56
2012,908,52
2013,906,54
2014,905,56
2015,919,59
2016,897,62
2017,918,60
2018,905,61
2019,907,55
2020,901,54
2021,900,57
