"year","count","rx5day_average"
1981,659,88
1982,681,98
1983,687,92
1984,703,84
1985,715,86
1986,743,87
1987,751,80
1988,756,75
1989,755,80
1990,740,85
1991,741,86
1992,765,85
1993,790,78
1994,825,78
1995,851,92
1996,849,79
1997,876,78
1998,856,91
1999,861,81
2000,708,75
2001,712,75
2002,729,82
2003,728,82
2004,817,86
2005,769,103
2006,859,90
2007,864,92
2008,892,94
2009,901,86
2010,908,99
2011,908,88
2012,908,82
2013,906,89
2014,905,87
2015,919,98
2016,897,100
2017,918,96
2018,905,98
2019,907,88
2020,901,84
2021,900,90
