"year","count","average"
1981,84,4.41
1982,81,4.82
1983,86,4.46
1984,89,4.10
1985,90,4.56
1986,88,4.12
1987,88,4.32
1988,35,4.75
1989,86,4.94
1990,86,4.78
1991,80,4.44
1992,79,4.42
1993,80,4.73
1994,75,5.26
1995,82,5.91
1996,79,4.73
1997,80,4.39
1998,81,4.63
1999,81,4.36
2000,73,4.60
2001,79,5.72
2002,86,4.53
2003,79,4.86
2004,82,4.66
2005,70,5.10
2006,74,4.89
2007,70,4.66
2008,72,4.78
2009,72,5.01
2010,71,4.80
2011,68,4.51
2012,76,4.70
2013,88,4.49
2014,90,4.79
2015,87,4.91
2016,88,4.68
2017,89,5.32
2018,85,6.30
2019,88,5.56
2020,81,4.44
2021,78,4.44
