"year","count","r99p_average"
1981,55,67
1982,46,103
1983,44,91
1984,38,66
1985,41,67
1986,36,72
1987,37,64
1988,15,70
1989,41,99
1990,41,100
1991,41,92
1992,48,93
1993,37,110
1994,56,151
1995,41,80
1996,34,112
1997,33,74
1998,37,75
1999,34,72
2000,31,60
2001,30,52
2002,35,68
2003,35,76
2004,43,64
2005,42,59
2006,27,70
2007,32,64
2008,29,60
2009,26,59
2010,29,69
2011,32,65
2012,37,54
2013,36,62
2014,40,89
2015,38,89
2016,41,85
2017,46,144
2018,45,163
2019,42,162
2020,33,100
2021,32,66
