"year","count","rx1day_average"
1981,85,34
1982,85,42
1983,92,37
1984,98,28
1985,98,30
1986,96,28
1987,102,27
1988,40,26
1989,98,34
1990,98,33
1991,99,32
1992,96,34
1993,98,36
1994,93,51
1995,102,30
1996,103,34
1997,107,25
1998,103,26
1999,100,24
2000,92,23
2001,98,22
2002,95,26
2003,100,26
2004,102,25
2005,96,23
2006,91,27
2007,91,24
2008,97,21
2009,97,19
2010,96,21
2011,95,20
2012,100,22
2013,111,21
2014,114,23
2015,107,27
2016,111,26
2017,114,30
2018,107,30
2019,113,29
2020,107,24
2021,98,23
