"year","count","average"
1981,142,12.21
1982,118,16.73
1983,139,15.31
1984,143,13.20
1985,112,14.56
1986,131,11.16
1987,140,12.58
1988,141,11.82
1989,144,13.67
1990,148,14.92
1991,168,14.52
1992,157,13.36
1993,168,14.50
1994,172,13.95
1995,170,17.11
1996,170,13.69
1997,168,13.57
1998,154,12.85
1999,122,11.71
2000,155,12.37
2001,167,13.84
2002,165,13.10
2003,144,16.76
2004,138,15.09
2005,162,13.75
2006,158,13.70
2007,153,12.81
2008,147,13.35
2009,138,12.72
2010,153,13.08
2011,156,12.28
2012,161,13.17
2013,151,13.51
2014,163,13.44
2015,166,13.67
2016,162,12.37
2017,161,13.09
2018,165,12.25
2019,164,12.45
2020,146,12.59
2021,154,12.93
