"year","r95p_count","r95p_average"
1981,105,261.1
1982,98,382.8
1983,116,328.3
1984,123,267.6
1985,65,246.2
1986,67,257.1
1987,106,228.0
1988,110,212.7
1989,114,247.5
1990,131,311.9
1991,148,334.8
1992,139,284.8
1993,142,319.7
1994,152,303.5
1995,145,311.0
1996,146,317.4
1997,150,313.6
1998,130,283.2
1999,73,139.1
2000,138,296.2
2001,150,278.5
2002,145,308.3
2003,121,267.3
2004,109,265.5
2005,141,295.1
2006,140,331.3
2007,131,299.6
2008,124,303.2
2009,108,322.5
2010,128,292.7
2011,126,284.8
2012,133,309.5
2013,123,275.1
2014,133,362.9
2015,131,294.5
2016,125,293.1
2017,133,350.0
2018,131,311.7
2019,140,309.3
2020,115,262.1
2021,116,285.1
