"year","count","r99p_average"
1981,47,302
1982,68,282
1983,67,237
1984,58,208
1985,26,230
1986,36,168
1987,38,182
1988,39,166
1989,46,176
1990,61,222
1991,79,212
1992,67,228
1993,81,218
1994,85,201
1995,71,237
1996,78,202
1997,78,232
1998,63,193
1999,13,152
2000,58,205
2001,62,195
2002,63,214
2003,49,191
2004,49,168
2005,58,218
2006,80,175
2007,69,182
2008,67,185
2009,53,191
2010,66,187
2011,60,176
2012,65,206
2013,57,182
2014,69,233
2015,53,224
2016,54,175
2017,67,245
2018,66,214
2019,64,220
2020,47,204
2021,48,234
