"year","count","rx5day_average"
1981,144,122
1982,119,146
1983,140,141
1984,147,128
1985,143,66
1986,148,69
1987,142,112
1988,144,108
1989,146,111
1990,149,139
1991,171,140
1992,160,133
1993,169,143
1994,172,138
1995,174,148
1996,175,132
1997,173,146
1998,163,130
1999,133,74
2000,165,127
2001,177,123
2002,170,130
2003,170,101
2004,161,98
2005,173,124
2006,169,121
2007,163,120
2008,160,124
2009,148,113
2010,171,113
2011,169,112
2012,178,118
2013,166,113
2014,173,128
2015,175,119
2016,174,120
2017,172,129
2018,175,122
2019,174,126
2020,159,114
2021,165,115
