stationid,latitude,longitude,country,min_year,max_year
"85364099999",-21.555736000000000,-64.701324999999997,BOLIVIA,"1981","2021"
"85293099999",-19.543068999999999,-65.723706000000007,BOLIVIA,"1991","2018"
"87436099999",-33.273192000000002,-66.356421999999995,ARGENTINA,"1981","2021"
"86218099999",-25.239850000000001,-57.519132999999997,PARAGUAY,"1981","2021"
"84452099999",-6.787475000000000,-79.828097000000000,PERU,"1981","2021"
"87222099999",-28.595555999999998,-65.751666999999998,ARGENTINA,"1981","2021"
"87311099999",-31.571472000000000,-68.418194000000000,ARGENTINA,"1981","2021"
"87593099999",-34.972222000000002,-57.894694000000001,ARGENTINA,"1981","2021"
"82281099999",-2.585361000000000,-44.234138999999999,BRAZIL,"1981","2021"
"84455099999",-6.508742000000000,-76.373247000000006,PERU,"1981","2021"
"82193099999",-1.379250000000000,-48.476292000000001,BRAZIL,"1981","2021"
"82332099999",-3.146042000000000,-59.986300000000000,BRAZIL,"1981","2021"
"85406099999",-18.348514000000002,-70.338750000000005,CHILE,"1981","2021"
"82599099999",-5.911417000000000,-35.247717000000002,BRAZIL,"1981","2021"
"80415099999",10.603116999999999,-66.990583000000001,VENEZUELA,"1981","2021"
"83208099999",-12.694375000000001,-60.098269000000002,BRAZIL,"1985","2021"
"87244099999",-29.899999999999999,-63.683333300000001,ARGENTINA,"1983","2021"
"84377099999",-3.784739000000000,-73.308806000000004,PERU,"1981","2021"
"85196099999",-16.250000000000000,-62.100000000000001,BOLIVIA,"1991","2021"
"80222099999",4.701594000000000,-74.146946999999997,COLOMBIA,"1981","2020"
"85123099999",-13.762207999999999,-65.435158000000001,BOLIVIA,"1991","2021"
"83583099999",-19.851181000000000,-43.950628000000002,BRAZIL,"1981","2021"
"82993099999",-9.510808000000001,-35.791677999999997,BRAZIL,"1981","2021"
"87328099999",-31.945183000000000,-65.146282999999997,ARGENTINA,"1981","2021"
"87078099999",-24.721367000000001,-60.548836000000001,ARGENTINA,"1981","2021"
"84390099999",-4.576639000000000,-81.254138999999995,PERU,"1981","2021"
"85418099999",-20.535222000000001,-70.181274999999999,CHILE,"1985","2021"
"80009099999",11.119650000000000,-74.230647000000005,COLOMBIA,"1982","2021"
"82917099999",-9.869158000000001,-67.894071999999994,BRAZIL,"1991","2021"
"85154099999",-14.818739000000001,-64.918019000000001,BOLIVIA,"1981","2021"
"87344099999",-31.323619000000001,-64.207953000000003,ARGENTINA,"1981","2021"
"87860099999",-45.785347000000002,-67.465508000000000,ARGENTINA,"1981","2021"
"82965099999",-9.866092000000000,-56.106206000000000,BRAZIL,"1989","2021"
"85874099999",-45.916058000000000,-71.689475000000002,CHILE,"1981","2021"
"86560099999",-34.456408000000003,-57.770617000000001,URUGUAY,"1981","2021"
"82098099999",0.050664000000000,-51.072178000000001,BRAZIL,"1981","2021"
"87155099999",-27.449985999999999,-59.056125000000002,ARGENTINA,"1981","2021"
"87162099999",-26.212721999999999,-58.228110999999998,ARGENTINA,"1981","2021"
"85574099999",-33.392975000000000,-70.785803000000001,CHILE,"1981","2021"
"85242099999",-17.962589000000001,-67.076235999999994,BOLIVIA,"1981","2021"
"87750099999",-38.724966999999999,-62.169316999999999,ARGENTINA,"1981","2021"
"84628099999",-12.021889000000000,-77.114318999999995,PERU,"1981","2021"
"84658099999",-12.613611000000001,-69.228611000000001,PERU,"1981","2021"
"87925099999",-51.608874999999998,-69.312635999999998,ARGENTINA,"1981","2021"
"85289099999",-18.975280999999999,-57.820585999999999,BOLIVIA,"1991","2019"
"80410099999",10.042747000000000,-69.358619000000004,VENEZUELA,"1981","2021"
"87576099999",-34.822221999999996,-58.535832999999997,ARGENTINA,"1981","2021"
"87448099999",-33.729942000000001,-65.387418999999994,ARGENTINA,"1981","2021"
"83840099999",-25.528475000000000,-49.175775000000002,BRAZIL,"1981","2021"
"87097099999",-25.737280999999999,-54.473444000000001,ARGENTINA,"1981","2021"
"81202099999",5.950000000000000,-57.030000000000001,SURINAME,"1984","2021"
"82398099999",-3.776283000000000,-38.532556000000000,BRAZIL,"1981","2021"
"87129099999",-27.765616999999999,-64.310122000000007,ARGENTINA,"1981","2021"
"82984099999",-9.362411000000000,-40.569096999999999,BRAZIL,"1984","2021"
"83703099999",-22.549638999999999,-55.702613999999997,BRAZIL,"1983","2021"
"83248099999",-12.910994000000001,-38.331043999999999,BRAZIL,"1981","2021"
"80419099999",10.107139000000000,-64.689160999999999,VENEZUELA,"1982","2016"
"80403099999",11.414944000000000,-69.680899999999994,VENEZUELA,"1986","2016"
"85245099999",-17.811581000000000,-63.171481000000000,BOLIVIA,"1981","2021"
"85934099999",-53.002642000000002,-70.854585999999998,CHILE,"1981","2021"
"87623099999",-36.588321999999998,-64.275694000000001,ARGENTINA,"1981","2021"
"80210099999",4.812675000000000,-75.739519000000001,COLOMBIA,"1982","2020"
"80259099999",3.543222000000000,-76.381583000000006,COLOMBIA,"1981","2020"
"86460099999",-32.799999999999997,-56.516666600000001,URUGUAY,"1981","2018"
"85442099999",-23.444478000000000,-70.445099999999996,CHILE,"1981","2021"
"86585099999",-34.850000000000001,-56.200000000000003,URUGUAY,"1983","2021"
"80094099999",7.126500000000000,-73.184777999999994,COLOMBIA,"1981","2020"
"80421499999",10.912603000000001,-63.966600000000000,VENEZUELA,"1991","2021"
"87016099999",-23.152778999999999,-64.329170000000005,ARGENTINA,"1981","2021"
"83928099999",-29.782177999999998,-57.038189000000003,BRAZIL,"1981","2018"
"87828099999",-43.210500000000003,-65.270319000000001,ARGENTINA,"1981","2021"
"83780099999",-23.626691999999998,-46.655374999999999,BRAZIL,"1981","2021"
"87534099999",-34.135444000000000,-63.362250000000003,ARGENTINA,"1981","2021"
"87047099999",-24.855978000000000,-65.486169000000004,ARGENTINA,"1981","2021"
"86350099999",-30.974568999999999,-55.476188999999998,URUGUAY,"1981","2021"
"82579099999",-5.059942000000000,-42.823478000000001,BRAZIL,"1981","2021"
"85268099999",-18.316666699999999,-59.750000000000000,BOLIVIA,"1981","2021"
"87938099999",-54.843277999999998,-68.295749999999998,ARGENTINA,"1981","2021"
"84752099999",-16.341072000000000,-71.583083000000002,PERU,"1981","2021"
"87022099999",-22.619647000000001,-63.793672000000001,ARGENTINA,"1981","2021"
"82899099999",-8.126486000000000,-34.923591999999999,BRAZIL,"1981","2021"
"83827099999",-25.596150000000002,-54.487206000000000,BRAZIL,"1981","2021"
"80112099999",6.164536000000000,-75.423119000000000,COLOMBIA,"1988","2020"
"86500099999",-33.216666699999998,-54.383333299999997,URUGUAY,"1981","2019"
"87509099999",-34.588088999999997,-68.402677999999995,ARGENTINA,"1981","2021"
"87909099999",-49.306775000000002,-67.802588999999998,ARGENTINA,"1981","2021"
"83671099999",-21.984560999999999,-47.334764000000000,BRAZIL,"1983","2021"
