"year","count","average"
1981,274,13.42
1982,267,13.86
1983,295,14.05
1984,290,12.96
1985,284,12.48
1986,295,13.77
1987,295,13.59
1988,305,13.02
1989,283,12.84
1990,290,13.48
1991,289,13.07
1992,292,14.52
1993,345,13.85
1994,340,15.06
1995,374,14.10
1996,377,13.96
1997,376,13.20
1998,375,14.17
1999,178,13.05
2000,349,13.46
2001,349,13.27
2002,364,13.44
2003,375,14.19
2004,377,13.85
2005,375,14.66
2006,379,14.68
2007,383,14.60
2008,383,15.30
2009,383,14.69
2010,384,14.89
2011,384,14.73
2012,384,14.28
2013,364,14.96
2014,371,14.25
2015,384,14.26
2016,384,14.96
2017,379,14.53
2018,380,14.03
2019,382,13.87
2020,382,14.46
2021,378,15.04
