"year","count","r99p_average"
1981,182,293
1982,164,251
1983,180,204
1984,170,218
1985,132,191
1986,158,213
1987,165,185
1988,160,206
1989,160,208
1990,175,213
1991,166,232
1992,211,340
1993,215,249
1994,246,349
1995,218,240
1996,228,228
1997,177,207
1998,219,233
1999,28,214
2000,206,219
2001,155,238
2002,181,217
2003,205,208
2004,192,215
2005,235,249
2006,231,253
2007,231,234
2008,269,272
2009,228,281
2010,244,260
2011,244,309
2012,246,238
2013,235,264
2014,218,252
2015,224,225
2016,267,260
2017,252,250
2018,236,237
2019,221,221
2020,224,234
2021,223,277
