"year","count","rx5day_average"
1981,274,226
1982,270,191
1983,298,189
1984,294,178
1985,290,162
1986,304,168
1987,303,164
1988,306,176
1989,284,177
1990,290,184
1991,290,201
1992,292,222
1993,346,192
1994,345,218
1995,374,202
1996,378,209
1997,379,177
1998,378,203
1999,179,104
2000,350,193
2001,350,177
2002,364,192
2003,376,199
2004,377,187
2005,375,219
2006,379,212
2007,383,218
2008,383,228
2009,383,217
2010,384,224
2011,384,230
2012,384,218
2013,364,220
2014,371,209
2015,384,207
2016,384,224
2017,379,229
2018,380,210
2019,382,204
2020,382,201
2021,378,218
