"year","count","average"
1981,68,14.95
1982,64,19.47
1983,69,21.04
1984,64,16.22
1985,60,16.58
1986,71,15.42
1987,73,15.66
1988,72,15.65
1989,77,14.90
1990,75,15.37
1991,66,18.32
1992,78,17.98
1993,78,17.41
1994,80,20.12
1995,74,15.93
1996,67,15.31
1997,62,16.57
1998,76,15.85
1999,52,13.57
2000,47,17.92
2001,56,16.36
2002,47,14.65
2003,63,14.40
2004,72,14.58
2005,56,15.17
2006,58,16.63
2007,54,15.75
2008,49,15.63
2009,75,15.25
2010,83,16.18
2011,83,15.19
2012,84,16.37
2013,75,14.93
2014,81,15.40
2015,84,15.84
2016,84,16.44
2017,83,15.66
2018,82,15.91
2019,71,15.93
2020,82,16.28
2021,83,14.90
