"year","count","r99p_average"
1981,24,286
1982,40,332
1983,30,363
1984,15,406
1985,10,231
1986,18,237
1987,26,197
1988,14,248
1989,21,158
1990,17,241
1991,25,240
1992,23,256
1993,30,202
1994,46,312
1995,23,183
1996,13,229
1997,20,180
1998,31,173
1999,2,151
2000,10,167
2001,11,180
2002,3,197
2003,18,164
2004,15,187
2005,14,190
2006,16,190
2007,15,205
2008,15,189
2009,23,244
2010,32,213
2011,17,227
2012,28,246
2013,17,266
2014,29,329
2015,28,317
2016,31,200
2017,24,254
2018,30,166
2019,21,167
2020,24,233
2021,22,195
