"year","count","average"
1981,68,119
1982,64,140
1983,69,126
1984,64,93
1985,60,79
1986,71,90
1987,73,96
1988,72,88
1989,77,82
1990,76,98
1991,66,119
1992,78,104
1993,78,111
1994,80,161
1995,74,97
1996,67,91
1997,62,95
1998,76,103
1999,56,43
2000,48,77
2001,56,84
2002,48,71
2003,63,87
2004,72,87
2005,56,95
2006,58,98
2007,54,94
2008,49,100
2009,75,98
2010,83,101
2011,84,84
2012,84,98
2013,75,96
2014,81,103
2015,85,107
2016,85,107
2017,85,95
2018,83,96
2019,72,91
2020,83,100
2021,84,87
