"year","count","rx5day_average"
1981,68,147
1982,64,186
1983,69,161
1984,64,132
1985,60,102
1986,71,113
1987,73,123
1988,72,125
1989,77,116
1990,76,119
1991,66,148
1992,78,136
1993,78,139
1994,80,190
1995,74,124
1996,67,113
1997,62,116
1998,76,131
1999,56,62
2000,48,106
2001,56,111
2002,48,96
2003,63,123
2004,72,118
2005,56,127
2006,58,118
2007,54,133
2008,49,140
2009,75,143
2010,83,142
2011,84,127
2012,84,143
2013,75,141
2014,81,154
2015,85,157
2016,85,153
2017,85,132
2018,83,140
2019,72,138
2020,83,153
2021,84,131
