"year","r95p_count","r95p_average"
1981,370,176.8
1982,301,136.7
1983,302,115.6
1984,324,113.7
1985,316,116.0
1986,314,95.4
1987,326,110.0
1988,193,103.8
1989,332,99.1
1990,328,134.3
1991,299,113.5
1992,315,176.1
1993,332,144.2
1994,370,231.6
1995,279,111.2
1996,278,113.1
1997,275,102.9
1998,271,109.1
1999,204,83.1
2000,186,91.1
2001,226,96.5
2002,236,96.8
2003,239,79.6
2004,227,93.1
2005,228,82.3
2006,208,87.9
2007,230,94.5
2008,221,93.1
2009,233,97.7
2010,229,86.1
2011,220,90.5
2012,271,91.1
2013,285,111.7
2014,262,101.5
2015,288,121.6
2016,295,147.3
2017,281,146.8
2018,284,162.8
2019,287,178.9
2020,277,200.6
2021,272,167.0
