"year","count","r99p_average"
1981,209,128
1982,162,140
1983,144,113
1984,157,114
1985,153,102
1986,129,98
1987,126,115
1988,66,125
1989,140,99
1990,183,118
1991,144,115
1992,189,172
1993,176,131
1994,263,207
1995,124,106
1996,119,108
1997,111,101
1998,105,100
1999,68,82
2000,53,100
2001,71,101
2002,85,86
2003,64,76
2004,70,77
2005,72,77
2006,63,80
2007,67,90
2008,56,73
2009,75,79
2010,58,67
2011,70,65
2012,84,71
2013,110,89
2014,97,86
2015,96,135
2016,114,142
2017,112,158
2018,115,185
2019,134,197
2020,121,217
2021,111,194
