"year","count","average"
1981,390,63
1982,365,59
1983,371,47
1984,402,50
1985,405,49
1986,405,42
1987,408,45
1988,259,42
1989,405,46
1990,408,54
1991,383,48
1992,383,61
1993,394,59
1994,392,93
1995,374,45
1996,373,44
1997,375,41
1998,362,41
1999,364,27
2000,289,33
2001,334,35
2002,339,35
2003,376,28
2004,371,28
2005,370,28
2006,336,28
2007,339,31
2008,352,27
2009,345,29
2010,361,26
2011,349,26
2012,399,28
2013,391,33
2014,388,31
2015,385,34
2016,387,36
2017,395,31
2018,371,35
2019,377,38
2020,378,36
2021,377,34
