;europa;Karibik;Naher Osten;Nordamerika;Polarregionen;Südamerika;Südost-Asien;Westafrika;Zentralasien
1981;193,1;;153;194,7;110,4;261,1;484;248,4;176,8
1982;233,8;524,8;123,6;266,2;157,4;382,8;433,3;434,6;136,7
1983;184,4;350,3;121;232,1;122,5;328,3;447,1;408,5;115,6
1984;176,3;427;117,2;204,9;81,5;267,6;406,7;283,5;113,7
1985;161,0;340,5;111,5;207,8;103,6;246,2;336,1;188,3;116
1986;168,1;296,2;103,7;211,1;86,3;257,1;376,3;252,9;95,4
1987;187,4;437,7;92,3;201,6;79,2;228;351,8;245,9;110
1988;154,8;442,7;53,7;190,5;106,4;212,7;381,8;240,5;103,8
1989;157,9;236,3;65,2;217,8;125,7;247,5;380,2;183;99,1
1990;180,7;275,9;163,9;237,2;103,3;311,9;412;244,3;134,3
1991;205,0;286,6;131,3;221,5;113,2;334,8;408,2;249,2;113,5
1992;214,7;280,3;139,3;225,3;119,5;284,8;564,1;251,6;176,1
1993;226,2;405,6;129,1;207,2;132,4;319,7;453,6;259;144,2
1994;233,7;292,2;167,9;225,2;178,9;303,5;599,7;393,3;231,6
1995;184,5;412,2;151,8;271,5;120,5;311;451,4;210,2;111,2
1996;176,4;345,2;126,2;220,9;109,6;317,4;447,2;204,8;113,1
1997;173,8;323,4;120,2;198,6;91,5;313,6;344,8;214,2;102,9
1998;168,1;386,4;139,2;217,4;107,4;283,2;443,3;253,1;109,1
1999;164,4;269,3;65,9;196;110,8;139,1;232,6;101,2;83,1
2000;175,4;263,8;113,4;165,9;94,2;296,2;421;176,4;91,1
2001;154,0;250,8;159,4;164;89,2;278,5;398,7;168,9;96,5
2002;204,9;311,3;123;186,8;95,7;308,3;391,5;174,3;96,8
2003;145,2;462,7;125,2;206,3;115,2;267,3;404,4;230,3;79,6
2004;163,3;337,8;128,6;217,2;115,9;265,5;380;194,2;93,1
2005;174,1;357,4;122,8;238,9;121,3;295,1;490,1;205,6;82,3
2006;175,3;282,3;131;214,4;99,7;331,3;491,7;249,4;87,9
2007;190,7;289,2;136,8;207,2;106;299,6;476,8;230,8;94,5
2008;182,8;342,3;157,5;216,9;93,8;303,2;591,8;263,9;93,1
2009;183,8;279,9;124,3;211,8;101,5;322,5;510,5;282,9;97,7
2010;206,0;386,5;164,2;223;110,6;292,7;531,2;296,9;86,1
2011;173,4;382,5;177,5;227,5;109,5;284,8;570,4;220,6;90,5
2012;183,8;281,1;169;194,6;96,6;309,5;500,7;277,8;91,1
2013;186,2;324,2;223,4;220,2;86,5;275,1;526,3;282,2;111,7
2014;212,4;306;207,6;218,3;111,8;362,9;475,7;341,3;101,5
2015;167,8;263,3;269,4;267,1;116,5;294,5;452,9;316;121,6
2016;196,0;293,3;262,1;263,7;113,1;293,1;558,6;289,4;147,3
2017;196,3;333,9;213,8;257;159,1;350;541,7;292,1;146,8
2018;184,0;244,3;233,2;265,5;168,8;311,7;464,8;244,6;162,8
2019;193,4;254,5;254,8;230,7;160,1;309,3;406,8;208,5;178,9
2020;213,4;370,4;301,3;224,6;117;262,1;486;304,2;200,6
2021;209,7;267,8;296,9;216,9;98,5;285,1;531,9;245;167
