;Europa;Karibik;Naher Osten;Nordamerika;Polarregionen;Südamerika;Südost-Asien;Westafrika;Zentralasien
1981;105;;179;129;67;302;293;286;128
1982;157;384;120;204;103;282;251;332;140
1983;130;235;178;133;91;237;204;363;113
1984;106;342;82;114;66;208;218;406;114
1985;104;288;92;123;67;230;191;231;102
1986;104;173;106;129;72;168;213;237;98
1987;104;248;117;127;64;182;185;197;115
1988;;245;116;114;70;166;206;248;125
1989;98;203;89;135;99;176;208;158;99
1990;115;171;176;134;100;222;213;241;118
1991;122;252;116;126;92;212;232;240;115
1992;134;210;163;162;93;228;340;256;172
1993;157;282;171;116;110;218;249;202;131
1994;162;264;152;127;151;201;349;312;207
1995;112;370;175;209;80;237;240;183;106
1996;103;265;126;129;112;202;228;229;108
1997;100;221;132;115;74;232;207;180;101
1998;86;252;209;124;75;193;233;173;100
1999;84;206;118;111;72;152;214;;82
2000;89;209;113;107;60;205;219;167;100
2001;79;202;187;101;52;195;238;180;101
2002;107;209;132;119;68;214;217;197;86
2003;83;333;109;117;76;191;208;164;76
2004;84;291;119;116;64;168;215;187;77
2005;94;273;128;139;59;218;249;190;77
2006;89;187;151;120;70;175;253;190;80
2007;92;204;142;117;64;182;234;205;90
2008;84;207;153;130;60;185;272;189;73
2009;86;186;145;119;59;191;281;244;79
2010;98;254;151;121;69;187;260;213;67
2011;86;232;147;134;65;176;309;227;65
2012;77;201;127;117;54;206;238;246;71
2013;89;213;284;119;62;182;264;266;89
2014;101;171;343;121;89;233;252;329;86
2015;85;212;336;154;89;224;225;317;135
2016;99;207;334;181;85;175;260;200;142
2017;114;223;305;157;144;245;250;254;158
2018;108;172;356;158;163;214;237;166;185
2019;108;203;245;147;162;220;221;167;197
2020;117;265;314;134;100;204;234;233;217
2021;138;165;449;127;66;234;277;195;194
