;Europa;Karibik;Naher Osten;Nordamerika;Polarregionen;Südamerika;Südost-Asien;Westafrika;Zentralasien
1981;86;;52;88;54;122;226;147;77
1982;98;162;53;98;57;146;191;186;70
1983;93;140;41;92;48;141;189;161;60
1984;83;166;25;84;41;128;178;132;61
1985;80;150;26;86;44;66;162;102;61
1986;80;115;23;87;43;69;168;113;54
1987;83;138;21;80;39;112;164;123;57
1988;;155;16;75;41;108;176;125;55
1989;80;116;29;80;50;111;177;116;55
1990;85;116;52;85;44;139;184;119;65
1991;90;109;55;86;46;140;201;148;61
1992;89;100;58;85;47;133;222;136;77
1993;102;147;55;78;49;143;192;139;71
1994;101;108;61;78;65;138;218;190;106
1995;84;153;63;92;44;148;202;124;57
1996;84;148;52;79;46;132;209;113;57
1997;79;131;56;78;38;146;177;116;54
1998;75;151;44;91;39;130;203;131;54
1999;73;88;19;81;39;;104;62;37
2000;74;92;46;75;36;127;193;106;44
2001;70;83;42;75;35;123;177;111;48
2002;85;151;55;82;43;130;192;96;47
2003;73;203;48;82;41;101;199;123;40
2004;78;154;55;86;38;98;187;118;40
2005;79;152;59;103;39;124;219;127;39
2006;81;111;65;90;42;121;212;118;41
2007;80;125;57;92;38;120;218;133;44
2008;79;136;62;94;36;124;228;140;40
2009;80;118;64;86;34;113;217;143;42
2010;84;131;76;99;35;113;224;142;39
2011;75;131;66;88;33;112;230;127;41
2012;72;107;61;82;34;118;218;143;44
2013;77;122;81;89;33;113;220;141;50
2014;83;112;66;87;39;128;209;154;45
2015;74;107;75;98;41;119;207;157;53
2016;79;117;71;100;39;120;224;153;56
2017;77;126;65;96;45;129;229;132;51
2018;82;107;63;98;47;122;210;140;57
2019;78;109;82;88;44;126;204;138;64
2020;82;124;84;84;36;114;201;153;58
2021;87;101;67;90;33;115;218;131;54
;;;;;;;;;
